# E_R[keV], dN/dE
0.01, 149.02935506748946
0.02, 122.23204066850478
0.03, 101.36185884979392
0.04, 84.82782683091838
0.05, 71.54622706681793
0.06, 60.753082560503984
0.07, 51.895533045633414
0.08, 44.5643713443321
0.09, 38.451153152074426
0.1, 33.31979398864571
0.11, 28.986981629443825
0.12, 25.308907082335168
0.13, 22.17139481252447
0.14, 19.48311882626679
0.15, 17.170286813071776
0.16, 15.17295755120009
0.17, 13.441998903154404
0.18, 11.936985711491573
0.19, 10.624395345407413
0.2, 9.476330817059006
0.21, 8.469448226002227
0.22, 7.584127242889492
0.23, 6.803798657925219
0.24, 6.114436083888495
0.25, 5.5041012631900825
0.26, 4.962614884337799
0.27, 4.481254220651526
0.28, 4.052536433249069
0.29, 3.6700085944271152
0.3, 3.328101276577164
0.31, 3.021995598303968
0.32, 2.7475006768366512
0.33, 2.500973592927051
0.34, 2.2792391831419647
0.35000000000000003, 2.0795171743173886
0.36, 1.8993751225015267
0.37, 1.736678065876277
0.38, 1.5895473459405884
0.39, 1.4563292099923268
0.4, 1.3355627058782338
0.41000000000000003, 1.2259565501911958
0.42, 1.1263673937835499
0.43, 1.035781055640581
0.44, 0.9532958150256956
0.45, 0.8781106390465958
0.46, 0.8095103480618621
0.47000000000000003, 0.7468575013653355
0.48, 0.689582557862584
0.49, 0.6371756902013065
0.5, 0.5891804034489371
0.51, 0.5451868178616956
0.52, 0.5048273792599507
0.53, 0.4677709855118716
0.54, 0.4337201412962014
0.55, 0.40240632260526227
0.56, 0.3735874636364524
0.5700000000000001, 0.34704504472837716
0.58, 0.3225813135820067
0.59, 0.30001747382676425
0.6, 0.27919139301997414
0.61, 0.2599561620025343
0.62, 0.24217847640691878
0.63, 0.22573723785899344
0.64, 0.21052224484907522
0.65, 0.1964332799002913
0.66, 0.18337909290528975
0.67, 0.17127645669821143
0.68, 0.16004942625854152
0.6900000000000001, 0.1496288310198827
0.7000000000000001, 0.13995120788968435
0.71, 0.1309586936278626
0.72, 0.12259831660651117
0.73, 0.11482154058213515
0.74, 0.10758386675205822
0.75, 0.1008445714727285
0.76, 0.09456615141559957
0.77, 0.08871432753041168
0.78, 0.08325745487952511
0.79, 0.07816649824959253
0.8, 0.07341474002342248
0.81, 0.06897761277960814
0.8200000000000001, 0.06483239280773258
0.8300000000000001, 0.06095824246366924
0.84, 0.057335851764232455
0.85, 0.053947454304355186
0.86, 0.05077663542954481
0.87, 0.04780822239195502
0.88, 0.04502818395722703
0.89, 0.042423538606753866
0.9, 0.039982304570647824
0.91, 0.03769334227579213
0.92, 0.03554638378204178
0.93, 0.033531863389249066
0.9400000000000001, 0.03164093774980084
0.9500000000000001, 0.029865398853068006
0.96, 0.02819762533607632
0.97, 0.02663053774143864
0.98, 0.025157573678884233
0.99, 0.02377261176582156
1., 0.022469973534852684
1.01, 0.021244366494169196
1.02, 0.020090886696652228
1.03, 0.01900494035026581
1.04, 0.017982262646167136
1.05, 0.017018877848839032
1.06, 0.016111078426568788
1.07, 0.015255409586561571
1.08, 0.014448648096704549
