# E[keV], Quenching[1]
6.060e-02,4.408e-05
6.060e-02,4.408e-05
6.070e-02,3.678e-04
6.070e-02,3.678e-04
6.080e-02,7.158e-04
6.080e-02,7.158e-04
6.080e-02,7.158e-04
6.090e-02,1.219e-03
6.090e-02,1.219e-03
6.100e-02,1.572e-03
6.100e-02,1.572e-03
6.110e-02,1.919e-03
6.110e-02,1.919e-03
6.110e-02,1.919e-03
6.120e-02,2.403e-03
6.120e-02,2.403e-03
6.130e-02,2.728e-03
6.130e-02,2.728e-03
6.130e-02,2.728e-03
6.140e-02,3.211e-03
6.140e-02,3.211e-03
6.150e-02,3.529e-03
6.150e-02,3.529e-03
6.160e-02,3.842e-03
6.160e-02,3.842e-03
6.160e-02,3.842e-03
6.170e-02,4.305e-03
6.170e-02,4.305e-03
6.180e-02,4.609e-03
6.180e-02,4.609e-03
6.190e-02,4.910e-03
6.190e-02,4.910e-03
6.190e-02,4.910e-03
6.200e-02,5.342e-03
6.200e-02,5.342e-03
6.210e-02,5.644e-03
6.210e-02,5.644e-03
6.220e-02,5.932e-03
6.220e-02,5.932e-03
6.220e-02,5.932e-03
6.230e-02,6.346e-03
6.230e-02,6.346e-03
6.240e-02,6.635e-03
6.240e-02,6.635e-03
6.250e-02,6.909e-03
6.250e-02,6.909e-03
6.260e-02,7.193e-03
6.260e-02,7.193e-03
6.260e-02,7.193e-03
6.270e-02,7.582e-03
6.270e-02,7.582e-03
6.280e-02,7.838e-03
6.280e-02,7.838e-03
6.290e-02,8.098e-03
6.290e-02,8.098e-03
6.300e-02,8.356e-03
6.300e-02,8.356e-03
6.300e-02,8.356e-03
6.310e-02,8.727e-03
6.310e-02,8.727e-03
6.320e-02,8.973e-03
6.320e-02,8.973e-03
6.330e-02,9.227e-03
6.330e-02,9.227e-03
6.340e-02,9.451e-03
6.340e-02,9.451e-03
6.340e-02,9.451e-03
6.350e-02,9.801e-03
6.350e-02,9.801e-03
6.360e-02,1.004e-02
6.360e-02,1.004e-02
6.370e-02,1.026e-02
6.370e-02,1.026e-02
6.380e-02,1.050e-02
6.380e-02,1.050e-02
6.390e-02,1.071e-02
6.390e-02,1.071e-02
6.390e-02,1.071e-02
6.400e-02,1.104e-02
6.400e-02,1.104e-02
6.410e-02,1.124e-02
6.410e-02,1.124e-02
6.420e-02,1.144e-02
6.420e-02,1.144e-02
6.430e-02,1.163e-02
6.430e-02,1.163e-02
6.440e-02,1.186e-02
6.440e-02,1.186e-02
6.440e-02,1.186e-02
6.450e-02,1.213e-02
6.450e-02,1.213e-02
6.460e-02,1.234e-02
6.460e-02,1.234e-02
6.470e-02,1.254e-02
6.470e-02,1.254e-02
6.480e-02,1.272e-02
6.480e-02,1.272e-02
6.490e-02,1.291e-02
6.490e-02,1.291e-02
6.500e-02,1.309e-02
6.500e-02,1.309e-02
6.510e-02,1.327e-02
6.510e-02,1.327e-02
6.510e-02,1.327e-02
6.520e-02,1.352e-02
6.520e-02,1.352e-02
6.530e-02,1.368e-02
6.530e-02,1.368e-02
6.540e-02,1.384e-02
6.540e-02,1.384e-02
6.550e-02,1.401e-02
6.550e-02,1.401e-02
6.560e-02,1.418e-02
6.560e-02,1.418e-02
6.570e-02,1.433e-02
6.570e-02,1.433e-02
6.580e-02,1.451e-02
6.580e-02,1.451e-02
6.590e-02,1.465e-02
6.590e-02,1.465e-02
6.600e-02,1.481e-02
6.600e-02,1.481e-02
6.610e-02,1.495e-02
6.610e-02,1.495e-02
6.620e-02,1.511e-02
6.620e-02,1.511e-02
6.630e-02,1.525e-02
6.630e-02,1.525e-02
6.640e-02,1.537e-02
6.640e-02,1.537e-02
6.650e-02,1.553e-02
6.650e-02,1.553e-02
6.660e-02,1.567e-02
6.660e-02,1.567e-02
6.670e-02,1.578e-02
6.670e-02,1.578e-02
6.680e-02,1.592e-02
6.680e-02,1.592e-02
6.690e-02,1.603e-02
6.690e-02,1.603e-02
6.700e-02,1.618e-02
6.700e-02,1.618e-02
6.710e-02,1.627e-02
6.710e-02,1.627e-02
6.720e-02,1.641e-02
6.720e-02,1.641e-02
6.730e-02,1.652e-02
6.730e-02,1.652e-02
6.740e-02,1.667e-02
6.740e-02,1.667e-02
6.750e-02,1.676e-02
6.750e-02,1.676e-02
6.760e-02,1.687e-02
6.760e-02,1.687e-02
6.770e-02,1.697e-02
6.770e-02,1.697e-02
6.780e-02,1.707e-02
6.780e-02,1.707e-02
6.790e-02,1.719e-02
6.790e-02,1.719e-02
6.800e-02,1.728e-02
6.800e-02,1.728e-02
6.810e-02,1.737e-02
6.810e-02,1.737e-02
6.820e-02,1.748e-02
6.820e-02,1.748e-02
6.830e-02,1.758e-02
6.830e-02,1.758e-02
6.840e-02,1.766e-02
6.840e-02,1.766e-02
6.850e-02,1.776e-02
6.850e-02,1.776e-02
6.860e-02,1.783e-02
6.860e-02,1.783e-02
6.870e-02,1.792e-02
6.870e-02,1.792e-02
6.880e-02,1.800e-02
6.880e-02,1.800e-02
6.890e-02,1.807e-02
6.890e-02,1.807e-02
6.900e-02,1.817e-02
6.910e-02,1.822e-02
6.910e-02,1.822e-02
6.920e-02,1.829e-02
6.920e-02,1.829e-02
6.930e-02,1.838e-02
6.930e-02,1.838e-02
6.940e-02,1.845e-02
6.940e-02,1.845e-02
6.950e-02,1.852e-02
6.950e-02,1.852e-02
6.960e-02,1.860e-02
6.960e-02,1.860e-02
6.970e-02,1.866e-02
6.970e-02,1.866e-02
6.980e-02,1.873e-02
6.990e-02,1.877e-02
6.990e-02,1.877e-02
7.000e-02,1.883e-02
7.000e-02,1.883e-02
7.010e-02,1.889e-02
7.010e-02,1.889e-02
7.020e-02,1.895e-02
7.020e-02,1.895e-02
7.030e-02,1.900e-02
7.030e-02,1.900e-02
7.040e-02,1.907e-02
7.040e-02,1.907e-02
7.050e-02,1.912e-02
7.060e-02,1.915e-02
