# E[keV], Quenching[1]
3.000000e-01, 0.000000e+00
3.010000e-01, 1.774930e-03
3.020060e-01, 3.529160e-03
3.030190e-01, 5.262140e-03
3.040390e-01, 6.973520e-03
3.050650e-01, 8.662960e-03
3.060990e-01, 1.033010e-02
3.071390e-01, 1.197470e-02
3.081860e-01, 1.359650e-02
3.092400e-01, 1.519510e-02
3.103010e-01, 1.677050e-02
3.113700e-01, 1.832220e-02
3.124450e-01, 1.985020e-02
3.135280e-01, 2.135430e-02
3.146170e-01, 2.283430e-02
3.157140e-01, 2.429000e-02
3.168190e-01, 2.572140e-02
3.179300e-01, 2.712830e-02
3.190500e-01, 2.851080e-02
3.201760e-01, 2.986860e-02
3.213100e-01, 3.120170e-02
3.224520e-01, 3.251020e-02
3.236010e-01, 3.379400e-02
3.247580e-01, 3.505300e-02
3.259230e-01, 3.628740e-02
3.270950e-01, 3.749710e-02
3.282750e-01, 3.868230e-02
3.294630e-01, 3.984290e-02
3.306590e-01, 4.097900e-02
3.318630e-01, 4.209070e-02
3.330750e-01, 4.317820e-02
3.342950e-01, 4.424150e-02
3.355230e-01, 4.528080e-02
3.367600e-01, 4.629620e-02
3.380040e-01, 4.728780e-02
3.392570e-01, 4.825590e-02
3.405180e-01, 4.920060e-02
3.417880e-01, 5.012210e-02
3.430660e-01, 5.102060e-02
3.443530e-01, 5.189620e-02
3.456480e-01, 5.274930e-02
3.469520e-01, 5.358000e-02
3.482640e-01, 5.438860e-02
3.495860e-01, 5.517530e-02
3.509160e-01, 5.594040e-02
3.522550e-01, 5.668410e-02
3.536030e-01, 5.740670e-02
3.549590e-01, 5.810850e-02
3.563250e-01, 5.878970e-02
3.577000e-01, 5.945070e-02
3.590840e-01, 6.009170e-02
3.604780e-01, 6.071300e-02
3.618800e-01, 6.131500e-02
3.632920e-01, 6.189790e-02
3.647140e-01, 6.246220e-02
3.661450e-01, 6.300800e-02
3.675850e-01, 6.353580e-02
3.690350e-01, 6.404580e-02
3.704950e-01, 6.453840e-02
3.719640e-01, 6.501400e-02
3.734430e-01, 6.547280e-02
3.749330e-01, 6.591530e-02
3.764320e-01, 6.634170e-02
3.779400e-01, 6.675250e-02
3.794600e-01, 6.714800e-02
3.809890e-01, 6.752850e-02
3.825280e-01, 6.789440e-02
3.840780e-01, 6.824620e-02
3.856380e-01, 6.858410e-02
3.872080e-01, 6.890850e-02
3.887890e-01, 6.921980e-02
3.903800e-01, 6.951840e-02
3.919820e-01, 6.980460e-02
3.935950e-01, 7.007890e-02
3.952180e-01, 7.034160e-02
3.968520e-01, 7.059310e-02
3.984970e-01, 7.083370e-02
4.001530e-01, 7.106390e-02
4.018200e-01, 7.128410e-02
