# E_nu[MeV], flux[count/MeV/cm^2/s]
1.000000000000000021e-02, 1.553001856270483398e+11
2.000000000000000042e-02, 6.005034361588920898e+11
2.999999999999999889e-02, 1.205167684591992920e+12
4.000000000000000083e-02, 1.117014841007298096e+12
5.000000000000000278e-02, 9.343869394201767578e+11
5.999999999999999778e-02, 7.517590378330554199e+11
7.000000000000000666e-02, 1.642585211812290771e+12
8.000000000000000167e-02, 1.971124653357699951e+12
8.999999999999999667e-02, 2.307949923333102539e+12
1.000000000000000056e-01, 2.648513969728001953e+12
1.100000000000000006e-01, 2.921987685187947754e+12
1.199999999999999956e-01, 2.953307339120452637e+12
1.300000000000000044e-01, 2.949830499787536133e+12
1.400000000000000133e-01, 2.965171458585445312e+12
1.499999999999999944e-01, 3.072914616981686523e+12
1.600000000000000033e-01, 3.373816011521532227e+12
1.700000000000000122e-01, 3.653950807539642578e+12
1.799999999999999933e-01, 3.976970771506174316e+12
1.900000000000000022e-01, 4.280823712437204590e+12
2.000000000000000111e-01, 4.488872152984007812e+12
2.099999999999999922e-01, 4.619508097065160156e+12
2.200000000000000011e-01, 4.750144041146314453e+12
2.300000000000000100e-01, 4.961861516193104492e+12
2.399999999999999911e-01, 5.219226955375285156e+12
2.500000000000000000e-01, 5.447135387607597656e+12
2.600000000000000089e-01, 5.525220546375105469e+12
2.700000000000000178e-01, 5.603305705142613281e+12
2.800000000000000266e-01, 5.681390863910120117e+12
2.899999999999999800e-01, 5.702846563497594727e+12
2.999999999999999889e-01, 5.648805125951446289e+12
3.099999999999999978e-01, 5.594763688405298828e+12
3.200000000000000067e-01, 5.540722250859150391e+12
3.300000000000000155e-01, 5.529010804165791016e+12
3.400000000000000244e-01, 5.535277089732321289e+12
3.500000000000000333e-01, 5.541543375298853516e+12
3.599999999999999867e-01, 5.547809660865383789e+12
3.699999999999999956e-01, 5.554075946431915039e+12
3.800000000000000044e-01, 5.497671846049564453e+12
3.900000000000000133e-01, 5.418427985690482422e+12
4.000000000000000222e-01, 5.303417806540855469e+12
4.100000000000000311e-01, 5.080693719283203125e+12
4.199999999999999845e-01, 4.939166894686375000e+12
4.299999999999999933e-01, 4.773202091786176758e+12
4.400000000000000022e-01, 4.612116444586012695e+12
4.500000000000000111e-01, 4.468271184987282227e+12
4.600000000000000200e-01, 4.340185249888535645e+12
4.700000000000000289e-01, 4.229878426114145508e+12
4.799999999999999822e-01, 4.049308268198851074e+12
4.899999999999999911e-01, 3.878492288493313965e+12
5.000000000000000000e-01, 3.742361592881283203e+12
5.100000000000000089e-01, 3.616792971475971191e+12
5.200000000000000178e-01, 3.609265811412920410e+12
5.300000000000000266e-01, 3.601738651349870117e+12
5.400000000000000355e-01, 3.624593518568997559e+12
5.500000000000000444e-01, 3.665210126617912109e+12
5.600000000000000533e-01, 3.698330764020611328e+12
5.700000000000000622e-01, 3.731451401423311523e+12
5.799999999999999600e-01, 3.735929813579007324e+12
5.899999999999999689e-01, 3.735632850646853516e+12
5.999999999999999778e-01, 3.735335887714699707e+12
6.099999999999999867e-01, 3.732825605131092285e+12
6.199999999999999956e-01, 3.715555331988410156e+12
6.300000000000000044e-01, 3.698285058845728027e+12
6.400000000000000133e-01, 3.681014785703044922e+12
