# $E_{\rm R}$[keV], $dR/dE_{\rm R}$[count/d/keV/kg]
0.00, 296.41
0.01, 227.55
0.01, 197.84
0.01, 179.00
0.02, 164.96
0.03, 153.40
0.03, 143.55
0.04, 135.01
0.04, 127.46
0.04, 120.73
0.05, 114.67
0.06, 109.18
0.06, 104.17
0.07, 99.57
0.07, 95.34
0.07, 91.44
0.08, 87.85
0.09, 84.53
0.09, 81.46
0.10, 78.61
0.10, 75.96
0.10, 73.47
0.11, 71.13
0.12, 68.92
0.12, 66.83
0.12, 64.83
0.13, 62.94
0.14, 61.12
0.14, 59.39
0.14, 57.72
0.15, 56.13
0.15, 54.60
0.16, 53.14
0.17, 51.72
0.17, 50.36
0.18, 49.05
0.18, 47.78
0.18, 46.56
0.19, 45.38
0.20, 44.24
0.20, 43.14
0.21, 42.07
0.21, 41.03
0.21, 40.03
0.22, 39.06
0.23, 38.12
0.23, 37.21
0.24, 36.32
0.24, 35.46
0.24, 34.63
0.25, 33.82
0.26, 33.03
0.26, 32.27
0.27, 31.52
0.27, 30.80
0.28, 30.09
0.28, 29.41
0.29, 28.74
0.29, 28.09
0.29, 27.45
0.30, 26.84
0.30, 26.23
0.31, 25.65
0.32, 25.07
0.32, 24.52
0.33, 23.97
0.33, 23.44
0.34, 22.92
0.34, 22.41
0.35, 21.92
0.35, 21.44
0.35, 20.96
0.36, 20.50
0.36, 20.05
0.37, 19.61
0.38, 19.18
0.38, 18.76
0.39, 18.35
0.39, 17.95
0.40, 17.56
0.40, 17.18
0.41, 16.80
0.41, 16.43
0.42, 16.07
0.42, 15.72
0.42, 15.38
0.43, 15.04
0.43, 14.71
0.44, 14.39
0.45, 14.08
0.45, 13.77
0.46, 13.47
0.46, 13.17
0.47, 12.88
0.47, 12.60
0.48, 12.32
0.48, 12.05
0.48, 11.78
0.49, 11.52
0.49, 11.27
0.50, 11.02
0.51, 10.77
0.51, 10.53
0.52, 10.30
0.52, 10.07
0.53, 9.84
0.53, 9.62
0.54, 9.41
0.54, 9.19
0.55, 8.99
0.55, 8.78
0.56, 8.58
0.56, 8.39
0.57, 8.20
0.57, 8.01
0.58, 7.82
0.58, 7.64
0.58, 7.47
0.59, 7.29
0.59, 7.12
0.60, 6.96
0.60, 6.79
0.61, 6.64
0.61, 6.48
0.62, 6.32
0.62, 6.17
0.63, 6.03
0.64, 5.88
0.64, 5.74
0.65, 5.60
0.65, 5.47
0.66, 5.33
0.66, 5.20
0.67, 5.07
0.67, 4.95
0.68, 4.82
0.68, 4.70
0.69, 4.58
0.69, 4.47
