# #runID ohdu darkCurrent
6641 2 1.327487
6641 3 1.442221
6641 4 1.354006
6641 5 1.382831
6641 6 1.460784
6641 7 1.197683
6641 8 1.497962
6641 9 1.413821
6641 10 1.092144
6641 11 0.262467
6641 12 0.535413
6641 13 1.445299
6641 14 1.316561
6641 15 0.318852
6640 2 1.334999
6640 3 1.444338
6640 4 1.331666
6640 5 1.389444
6640 6 1.439714
6640 7 1.189538
6640 8 1.466667
6640 9 1.417549
6640 10 1.108302
6640 11 0.226078
6640 12 0.538516
6640 13 1.410083
6640 14 1.261613
6640 15 0.310018
6639 2 1.353801
6639 3 1.474035
6639 4 1.327906
6639 5 1.396424
6639 6 1.483989
6639 7 1.203005
6639 8 1.451053
6639 9 1.434496
6639 10 1.155422
6639 11 0.280872
6639 12 0.561249
6639 13 1.471583
6639 14 1.266667
6639 15 0.293447
6638 2 1.292500
6638 3 1.457166
6638 4 1.361984
6638 5 1.424976
6638 6 1.482303
6638 7 1.231530
6638 8 1.488288
6638 9 1.434689
6638 10 1.118282
6638 11 0.309121
6638 12 0.576387
6638 13 1.515659
6638 14 1.309368
6638 15 0.208167
6637 2 1.301068
6637 3 1.426534
6637 4 1.336455
6637 5 1.403765
6637 6 1.446067
6637 7 1.174261
6637 8 1.452010
6637 9 1.405149
6637 10 1.103026
6637 11 0.252763
6637 12 0.459468
6637 13 1.469505
6637 14 1.310852
6637 15 0.289636
6636 2 1.322456
6636 3 1.446260
6636 4 1.350926
6636 5 1.413428
6636 6 1.446067
6636 7 1.250333
6636 8 1.511070
6636 9 1.403765
6636 10 1.114301
6636 11 0.233333
6636 12 0.491031
6636 13 1.467045
6636 14 1.316139
6636 15 0.304594
6635 2 1.284091
6635 3 1.395031
6635 4 1.293359
6635 5 1.410083
6635 6 1.437977
6635 7 1.200926
6635 8 1.423025
6635 9 1.363818
6635 10 1.125463
6635 11 0.331662
6635 12 0.496096
6635 13 1.473658
6635 14 1.284091
6635 15 0.281859
6634 2 1.292500
6634 3 1.438749
6634 4 1.337078
6634 5 1.415392
6634 6 1.500370
6634 7 1.246551
6634 8 1.458690
6634 9 1.356466
6634 10 1.195129
6634 11 0.246080
6634 12 0.506074
6634 13 1.460784
6634 14 1.295934
6634 15 0.383695
6633 2 1.382630
6633 3 1.468559
6633 4 1.310852
6633 5 1.400595
6633 6 1.453157
6633 7 1.190005
6633 8 1.483989
6633 9 1.425171
6633 10 1.145765
6633 11 0.285774
6633 12 0.521749
6633 13 1.480428
6633 14 1.275844
6633 15 0.323179
6632 2 1.293574
6632 3 1.402577
6632 4 1.354622
6632 5 1.393836
6632 6 1.425950
6632 7 1.196523
6632 8 1.430812
6632 9 1.389444
6632 10 1.118034
6632 11 0.317980
6632 12 0.515860
6632 13 1.420289
6632 14 1.281275
6632 15 0.280872
6631 2 1.278888
6631 3 1.387444
6631 4 1.304054
6631 5 1.381826
6631 6 1.449138
6631 7 1.163329
6631 8 1.432558
6631 9 1.365853
6631 10 1.051454
6631 11 0.311805
6631 12 0.562238
6631 13 1.474411
6631 14 1.272574
6631 15 0.281859
6630 2 1.329996
6630 3 1.419898
6630 4 1.324764
6630 5 1.388044
6630 6 1.440679
6630 7 1.192337
6630 8 1.459071
6630 9 1.402379
6630 10 1.084230
6630 11 0.232140
6630 12 0.543650
6630 13 1.414803
6630 14 1.279323
6630 15 0.397911
6629 2 1.320774
6629 3 1.442028
6629 4 1.316139
6629 5 1.384638
6629 6 1.446836
6629 7 1.217465
6629 8 1.494992
6629 9 1.402379
6629 10 1.137737
6629 11 0.340751
6629 12 0.504425
6629 13 1.458310
6629 14 1.268858
6629 15 0.182574
6628 2 1.315928
6628 3 1.452584
6628 4 1.361780
6628 5 1.469883
6628 6 1.483614
6628 7 1.288625
6628 8 1.465530
6628 9 1.418528
6628 10 1.157824
6628 11 0.369685
6628 12 0.547723
6628 13 1.546501
6628 14 1.300427
6628 15 0.351188
6627 2 1.284956
6627 3 1.453540
6627 4 1.316983
6627 5 1.415784
6627 6 1.451245
6627 7 1.204851
6627 8 1.459833
6627 9 1.397219
6627 10 1.088577
6627 11 0.243812
6627 12 0.556277
6627 13 1.472338
6627 14 1.302988
6627 15 0.387298
6626 2 1.285604
6626 3 1.432558
6626 4 1.366667
6626 5 1.401983
6626 6 1.466667
6626 7 1.213352
6626 8 1.455450
6626 9 1.430812
6626 10 1.104788
6626 11 0.227303
6626 12 0.555278
6626 13 1.470450
6626 14 1.312123
6626 15 0.381517
6625 2 1.318880
6625 3 1.452010
6625 4 1.386442
6625 5 1.435076
6625 6 1.496292
6625 7 1.212665
6625 8 1.486981
6625 9 1.444914
6625 10 1.113303
6625 11 0.281859
6625 12 0.566176
6625 13 1.495920
6625 14 1.321405
6625 15 0.259272
6624 2 1.300641
6624 3 1.449713
6624 4 1.338947
6624 5 1.391043
6624 6 1.444722
6624 7 1.200694
6624 8 1.481553
6624 9 1.406137
6624 10 1.142852
6624 11 0.251661
6624 12 0.502217
6624 13 1.456403
6624 14 1.311699
6624 15 0.268742
6623 2 1.305331
6623 3 1.429646
6623 4 1.340605
6623 5 1.431782
6623 6 1.501111
6623 7 1.226558
6623 8 1.491271
6623 9 1.404160
6623 10 1.178511
6623 11 0.304594
6623 12 0.550252
6623 13 1.483240
6623 14 1.284091
6623 15 0.259272
6622 2 1.319512
6622 3 1.457547
6622 4 1.333333
6622 5 1.420681
6622 6 1.459642
6622 7 1.231530
6622 8 1.453922
6622 9 1.405347
6622 10 1.129159
6622 11 0.297209
6622 12 0.558768
6622 13 1.458310
6622 14 1.334583
6622 15 0.322318
6621 2 1.334583
6621 3 1.489221
6621 4 1.370726
6621 5 1.371333
6621 6 1.471960
6621 7 1.224745
6621 8 1.494992
6621 9 1.421462
6621 10 1.151086
6621 11 0.276887
6621 12 0.561743
6621 13 1.463254
6621 14 1.380620
6621 15 0.336650
6620 2 1.334166
6620 3 1.412051
6620 4 1.355852
6620 5 1.371941
6620 6 1.467045
6620 7 1.135048
6620 8 1.490526
6620 9 1.393636
6620 10 1.169520
6620 11 0.285774
6620 12 0.432049
6620 13 1.497405
6620 14 1.292500
6620 15 0.337474
6619 2 1.268201
6619 3 1.397219
6619 4 1.297219
6619 5 1.384237
6619 6 1.408703
6619 7 1.171419
6619 8 1.418724
6619 9 1.386042
6619 10 1.050397
6619 11 0.195789
6619 12 0.450925
6619 13 1.464772
6619 14 1.257201
6619 15 0.414997
6618 2 1.314872
6618 3 1.430812
6618 4 1.347013
6618 5 1.390843
6618 6 1.460974
6618 7 1.196523
6618 8 1.460023
6618 9 1.396026
6618 10 1.140663
6618 11 0.200000
6618 12 0.528625
6618 13 1.457738
6618 14 1.334999
6618 15 0.329983
6617 2 1.349897
6617 3 1.457738
6617 4 1.327906
6617 5 1.404556
6617 6 1.426145
6617 7 1.234459
6617 8 1.505176
6617 9 1.442798
6617 10 1.132843
6617 11 0.258199
6617 12 0.446592
6617 13 1.484363
6617 14 1.275626
6617 15 0.307318
6616 2 1.282576
6616 3 1.485485
6616 4 1.354006
6616 5 1.393836
6616 6 1.455831
6616 7 1.198379
6616 8 1.495363
6616 9 1.412445
6616 10 1.103026
6616 11 0.267706
6616 12 0.536449
6616 13 1.459452
6616 14 1.309580
6616 15 0.304594
6615 2 1.342882
6615 3 1.485485
6615 4 1.313604
6615 5 1.410280
6615 6 1.469316
6615 7 1.159262
6615 8 1.493318
6615 9 1.413231
6615 10 1.137248
6615 11 0.205480
6615 12 0.549747
6615 13 1.444338
6615 14 1.266447
6615 15 0.304594
6614 2 1.301281
6614 3 1.425950
6614 4 1.338532
6614 5 1.405149
6614 6 1.424586
6614 7 1.250778
6614 8 1.446452
6614 9 1.399603
6614 10 1.101514
6614 11 0.228522
6614 12 0.558271
6614 13 1.454495
6614 14 1.283658
6614 15 0.359784
6613 2 1.282142
6613 3 1.418332
6613 4 1.294433
6613 5 1.376186
6613 6 1.394234
6613 7 1.153015
6613 8 1.438363
6613 9 1.356261
6613 10 1.088832
6613 11 0.108012
6613 12 0.571061
6613 13 1.430812
6613 14 1.260732
6613 15 0.192931
6612 2 1.303414
6612 3 1.429258
6612 4 1.356875
6612 5 1.377195
