# #runID ohdu diffMADSqr
6756 2 24.082526
6756 3 20.636231
6756 4 22.715495
6756 5 19.608583
6756 6 34.394259
6756 7 15.123086
6756 8 19.805093
6756 9 29.245233
6756 10 25.183102
6756 11 2.062323
6756 12 3.065140
6756 13 27.442157
6756 14 18.931638
6756 15 6.912011
6755 2 24.804637
6755 3 21.171498
6755 4 21.609053
6755 5 20.556555
6755 6 33.651021
6755 7 15.841562
6755 8 18.288826
6755 9 28.123830
6755 10 24.777706
6755 11 2.869507
6755 12 4.343084
6755 13 27.764724
6755 14 19.504321
6755 15 6.351862
6754 2 20.964147
6754 3 19.391681
6754 4 21.672170
6754 5 18.755855
6754 6 34.321404
6754 7 16.732729
6754 8 17.743589
6754 9 27.699778
6754 10 23.732028
6754 11 -0.950454
6754 12 3.018340
6754 13 28.502776
6754 14 17.418798
6754 15 6.731858
6753 2 24.052041
6753 3 20.327410
6753 4 23.407495
6753 5 18.507784
6753 6 33.284645
6753 7 14.072640
6753 8 19.881290
6753 9 33.058978
6753 10 22.666862
6753 11 1.803172
6753 12 2.423387
6753 13 26.816784
6753 14 17.632967
6753 15 5.918249
6752 2 22.895742
6752 3 21.409907
6752 4 20.698979
6752 5 20.389955
6752 6 33.293333
6752 7 14.438847
6752 8 19.527260
6752 9 28.869837
6752 10 24.399368
6752 11 -0.181406
6752 12 2.321026
6752 13 27.087412
6752 14 17.175581
6752 15 5.959148
6751 2 22.878352
6751 3 20.836730
6751 4 22.237507
6751 5 19.030601
6751 6 33.087607
6751 7 14.177376
6751 8 17.358477
6751 9 25.911468
6751 10 24.331459
6751 11 1.873832
6751 12 -0.308790
6751 13 26.561100
6751 14 15.773773
6751 15 5.357428
6750 2 24.591018
6750 3 20.602009
6750 4 20.443289
6750 5 19.695136
6750 6 33.861041
6750 7 14.236767
6750 8 17.172086
6750 9 25.622551
6750 10 23.768857
6750 11 2.416037
6750 12 1.672539
6750 13 26.574684
6750 14 14.878048
6750 15 6.945533
6749 2 23.967900
6749 3 21.341262
6749 4 21.182916
6749 5 19.610496
6749 6 33.373998
6749 7 19.844100
6749 8 20.382431
6749 9 30.043125
6749 10 24.686162
6749 11 1.361418
6749 12 2.290916
