# #runID ohdu diffMedianBG
12540 2 2.627314
12540 3 2.681728
12540 4 2.288134
12540 5 2.521243
12540 6 2.367957
12540 7 1.857118
12540 8 2.622764
12540 9 2.356787
12540 10 2.146315
12540 11 0.329983
12540 12 0.000000
12540 13 2.510201
12540 14 2.324746
12540 15 0.680278
12539 2 2.623293
12539 3 2.667083
12539 4 2.268627
12539 5 2.473976
12539 6 2.380476
12539 7 1.853675
12539 8 2.603096
12539 9 2.369365
12539 10 2.152518
12539 11 0.240370
12539 12 0.000000
12539 13 2.500000
12539 14 2.321159
12539 15 0.653197
12538 2 2.602670
12538 3 2.654556
12538 4 2.269851
12538 5 2.504551
12538 6 2.359849
12538 7 1.864731
12538 8 2.578652
12538 9 2.339516
12538 10 2.135806
12538 11 0.392994
12538 12 0.000000
12538 13 2.495997
12538 14 2.304826
12538 15 0.672888
12537 2 2.601922
12537 3 2.652881
12537 4 2.260531
12537 5 2.478575
12537 6 2.344616
12537 7 1.876906
12537 8 2.589509
12537 9 2.354428
12537 10 2.124722
12537 11 0.373423
12537 12 0.000000
12537 13 2.493659
12537 14 2.301207
12537 15 0.679052
12536 2 2.579190
12536 3 2.633122
12536 4 2.255980
12536 5 2.454588
12536 6 2.350059
12536 7 1.852326
12536 8 2.589723
12536 9 2.336902
12536 10 2.122106
12536 11 0.254951
12536 12 0.000000
12536 13 2.479919
12536 14 2.317805
12536 15 0.700397
12535 2 2.590367
12535 3 2.641864
12535 4 2.242890
12535 5 2.475098
12535 6 2.371005
12535 7 1.860108
12535 8 2.576820
12535 9 2.365375
12535 10 2.121582
12535 11 0.318852
12535 12 0.000000
12535 13 2.507655
12535 14 2.339634
12535 15 0.699206
12534 2 2.588650
12534 3 2.634283
12534 4 2.250185
12534 5 2.455266
12534 6 2.316007
12534 7 1.850375
12534 8 2.593582
12534 9 2.367723
12534 10 2.167051
12534 11 0.315348
12534 12 0.000000
12534 13 2.486743
12534 14 2.306031
12534 15 0.671648
12533 2 2.582742
12533 3 2.638708
12533 4 2.251049
12533 5 2.453456
12533 6 2.341770
12533 7 1.826502
12533 8 2.568830
12533 9 2.354546
12533 10 2.143984
12533 11 0.334996
12533 12 0.000000
12533 13 2.473526
12533 14 2.307235
12533 15 0.643342
12532 2 2.574447
12532 3 2.613214
12532 4 2.236316
12532 5 2.440059
12532 6 2.325941
12532 7 1.837117
12532 8 2.560056
12532 9 2.318045
12532 10 2.122760
12532 11 0.308221
12532 12 0.768838
12532 13 2.475210
12532 14 2.294074
12532 15 0.654047
12531 2 2.573260
12531 3 2.638497
12531 4 2.236441
12531 5 2.462835
12531 6 2.348049
12531 7 1.831059
12531 8 2.588865
12531 9 2.340228
12531 10 2.049661
12531 11 0.320590
12531 12 0.692018
12531 13 2.474312
12531 14 2.346866
12531 15 0.652772
12530 2 2.551144
12530 3 2.617250
12530 4 2.236937
12530 5 2.446767
12530 6 2.329282
12530 7 1.809543
12530 8 2.556908
12530 9 2.321278
12530 10 2.127988
12530 11 0.293447
12530 12 0.675771
12530 13 2.476893
12530 14 2.314687
12530 15 0.668331
12529 2 2.554082
12529 3 2.627314
12529 4 2.227729
12529 5 2.426016
12529 6 2.317566
12529 7 1.813836
12529 8 2.569911
12529 9 2.302897
12529 10 2.110555
12529 11 0.326599
12529 12 0.691215
12529 13 2.471279
12529 14 2.321398
12529 15 0.695621
12528 2 2.566558
12528 3 2.618630
12528 4 2.237558
12528 5 2.428191
12528 6 2.319243
12528 7 1.822696
12528 8 2.561250
12528 9 2.331189
12528 10 2.135676
12528 11 0.253859
12528 12 0.834666
12528 13 2.474312
12528 14 2.287769
12528 15 0.632456
12527 2 2.551361
12527 3 2.603096
12527 4 2.230222
12527 5 2.433790
12527 6 2.334405
12527 7 1.833788
12527 8 2.545803
12527 9 2.299034
12527 10 2.087529
12527 11 0.309121
12527 12 0.701189
12527 13 2.460917
12527 14 2.308318
12527 15 0.648503
12526 2 2.576065
12526 3 2.647116
12526 4 2.240412
12526 5 2.456737
12526 6 2.350414
12526 7 1.832424
12526 8 2.575526
12526 9 2.356551
12526 10 2.133464
12526 11 0.238048
12526 12 0.783865
12526 13 2.496998
12526 14 2.306151
12526 15 0.646357
12525 2 2.556256
12525 3 2.615658
12525 4 2.253269
12525 5 2.449603
12525 6 2.327015
12525 7 1.812763
12525 8 2.537278
12525 9 2.335594
12525 10 2.091517
12525 11 0.319722
12525 12 0.740495
12525 13 2.462948
12525 14 2.309401
12525 15 0.688799
