# #runID ohdu gainCu
12212 2 1531.063354
12212 3 1919.263550
12212 4 1640.191406
12212 5 1713.704102
12212 6 1646.312012
12212 7 1495.451782
12212 8 1895.850342
12212 9 1963.928589
12212 10 1821.956055
12212 13 2183.454590
12212 14 1939.441284
12212 15 2178.983154
12211 2 1531.063354
12211 3 1919.263550
12211 4 1640.191406
12211 5 1713.704102
12211 6 1646.312012
12211 7 1495.451782
12211 8 1895.850342
12211 9 1963.928589
12211 10 1821.956055
12211 13 2183.454590
12211 14 1939.441284
12211 15 2178.983154
12210 2 1531.063354
12210 3 1919.263550
12210 4 1640.191406
12210 5 1713.704102
12210 6 1646.312012
12210 7 1495.451782
12210 8 1895.850342
12210 9 1963.928589
12210 10 1821.956055
12210 13 2183.454590
12210 14 1939.441284
12210 15 2178.983154
12209 2 1531.063354
12209 3 1919.263550
12209 4 1640.191406
12209 5 1713.704102
12209 6 1646.312012
12209 7 1495.451782
12209 8 1895.850342
12209 9 1963.928589
12209 10 1821.956055
12209 13 2183.454590
12209 14 1939.441284
12209 15 2178.983154
12208 2 1531.063354
12208 3 1919.263550
12208 4 1640.191406
12208 5 1713.704102
12208 6 1646.312012
12208 7 1495.451782
12208 8 1895.850342
12208 9 1963.928589
12208 10 1821.956055
12208 13 2183.454590
12208 14 1939.441284
12208 15 2178.983154
12207 2 1531.063354
12207 3 1919.263550
12207 4 1640.191406
12207 5 1713.704102
12207 6 1646.312012
12207 7 1495.451782
12207 8 1895.850342
12207 9 1963.928589
12207 10 1821.956055
12207 13 2183.454590
12207 14 1939.441284
12207 15 2178.983154
12206 2 1531.063354
12206 3 1919.263550
12206 4 1640.191406
12206 5 1713.704102
12206 6 1646.312012
12206 7 1495.451782
12206 8 1895.850342
12206 9 1963.928589
12206 10 1821.956055
12206 13 2183.454590
12206 14 1939.441284
12206 15 2178.983154
12205 2 1531.063354
12205 3 1919.263550
12205 4 1640.191406
12205 5 1713.704102
12205 6 1646.312012
12205 7 1495.451782
12205 8 1895.850342
12205 9 1963.928589
12205 10 1821.956055
12205 13 2183.454590
12205 14 1939.441284
12205 15 2178.983154
12204 2 1531.063354
12204 3 1919.263550
12204 4 1640.191406
12204 5 1713.704102
12204 6 1646.312012
12204 7 1495.451782
12204 8 1895.850342
12204 9 1963.928589
12204 10 1821.956055
12204 13 2183.454590
12204 14 1939.441284
12204 15 2178.983154
12203 2 1531.063354
12203 3 1919.263550
12203 4 1640.191406
12203 5 1713.704102
12203 6 1646.312012
12203 7 1495.451782
12203 8 1895.850342
12203 9 1963.928589
12203 10 1821.956055
12203 13 2183.454590
12203 14 1939.441284
12203 15 2178.983154
6520 2 1526.347290
6520 3 1911.952515
6520 4 1638.307129
6520 5 1705.205322
6520 6 1635.545898
6520 7 1493.569580
6520 8 1869.903442
6520 9 1954.362305
6520 10 1801.746948
6520 13 2174.296143
6520 14 1930.651489
6520 15 2187.797607
6519 2 1526.347290
6519 3 1911.952515
6519 4 1638.307129
6519 5 1705.205322
6519 6 1635.545898
6519 7 1493.569580
6519 8 1869.903442
6519 9 1954.362305
6519 10 1801.746948
6519 13 2174.296143
6519 14 1930.651489
6519 15 2187.797607
6518 2 1526.347290
6518 3 1911.952515
6518 4 1638.307129
6518 5 1705.205322
6518 6 1635.545898
6518 7 1493.569580
6518 8 1869.903442
6518 9 1954.362305
6518 10 1801.746948
6518 13 2174.296143
6518 14 1930.651489
6518 15 2187.797607
6517 2 1526.347290
6517 3 1911.952515
6517 4 1638.307129
6517 5 1705.205322
6517 6 1635.545898
6517 7 1493.569580
6517 8 1869.903442
6517 9 1954.362305
6517 10 1801.746948
6517 13 2174.296143
6517 14 1930.651489
6517 15 2187.797607
6516 2 1526.347290
6516 3 1911.952515
6516 4 1638.307129
6516 5 1705.205322
6516 6 1635.545898
6516 7 1493.569580
6516 8 1869.903442
6516 9 1954.362305
6516 10 1801.746948
6516 13 2174.296143
6516 14 1930.651489
6516 15 2187.797607
6515 2 1526.347290
6515 3 1911.952515
6515 4 1638.307129
6515 5 1705.205322
6515 6 1635.545898
6515 7 1493.569580
6515 8 1869.903442
6515 9 1954.362305
6515 10 1801.746948
6515 13 2174.296143
6515 14 1930.651489
6515 15 2187.797607
6514 2 1526.347290
6514 3 1911.952515
6514 4 1638.307129
6514 5 1705.205322
6514 6 1635.545898
6514 7 1493.569580
6514 8 1869.903442
6514 9 1954.362305
6514 10 1801.746948
6514 13 2174.296143
6514 14 1930.651489
6514 15 2187.797607
6513 2 1526.347290
6513 3 1911.952515
6513 4 1638.307129
6513 5 1705.205322
6513 6 1635.545898
6513 7 1493.569580
6513 8 1869.903442
6513 9 1954.362305
6513 10 1801.746948
6513 13 2174.296143
6513 14 1930.651489
6513 15 2187.797607
6512 2 1526.347290
6512 3 1911.952515
6512 4 1638.307129
6512 5 1705.205322
6512 6 1635.545898
6512 7 1493.569580
6512 8 1869.903442
6512 9 1954.362305
6512 10 1801.746948
6512 13 2174.296143
6512 14 1930.651489
6512 15 2187.797607
6511 2 1526.347290
6511 3 1911.952515
6511 4 1638.307129
6511 5 1705.205322
6511 6 1635.545898
6511 7 1493.569580
6511 8 1869.903442
6511 9 1954.362305
6511 10 1801.746948
6511 13 2174.296143
6511 14 1930.651489
6511 15 2187.797607
6510 2 1526.347290
6510 3 1911.952515
6510 4 1638.307129
6510 5 1705.205322
6510 6 1635.545898
6510 7 1493.569580
6510 8 1869.903442
6510 9 1954.362305
6510 10 1801.746948
6510 13 2174.296143
6510 14 1930.651489
6510 15 2187.797607
6509 2 1526.347290
6509 3 1911.952515
6509 4 1638.307129
6509 5 1705.205322
6509 6 1635.545898
6509 7 1493.569580
6509 8 1869.903442
6509 9 1954.362305
6509 10 1801.746948
6509 13 2174.296143
