# #runID ohdu gainElectronMAD
12540 2 6.355215
12540 3 6.731934
12540 4 5.983089
12540 5 6.149866
12540 6 5.330394
12540 7 5.431523
12540 8 6.690881
12540 9 6.247928
12540 10 7.575528
12540 11 -13.844683
12540 12 526.950277
12540 13 7.762935
12540 14 6.954031
12540 15 2.702110
12539 2 6.238782
12539 3 6.691647
12539 4 6.040393
12539 5 6.652867
12539 6 4.264104
12539 7 5.615202
12539 8 6.237029
12539 9 6.305760
12539 10 7.860326
12539 11 -21.716833
12539 12 261.095523
12539 13 7.434863
12539 14 6.929985
12539 15 -2.079325
12538 2 6.367611
12538 3 6.099198
12538 4 5.454608
12538 5 6.374615
12538 6 5.431993
12538 7 6.305103
12538 8 6.776397
12538 9 6.605687
12538 10 7.365826
12538 11 0.672082
12538 12 860.650328
12538 13 7.813124
12538 14 6.705570
12538 15 3.580345
12537 2 6.165005
12537 3 7.113729
12537 4 6.414479
12537 5 6.614186
12537 6 4.777736
12537 7 6.317682
12537 8 6.771231
12537 9 6.846216
12537 10 7.802507
12537 11 5.149340
12537 12 393.665319
12537 13 7.578673
12537 14 7.619567
12537 15 0.617058
12536 2 5.848543
12536 3 6.979152
12536 4 6.559757
12536 5 6.716121
12536 6 4.749215
12536 7 6.112050
12536 8 6.386188
12536 9 7.376278
12536 10 7.361583
12536 11 4.565290
12536 12 458.994739
12536 13 7.511277
12536 14 7.525490
12536 15 1.996465
12535 2 6.063528
12535 3 7.225762
12535 4 5.998599
12535 5 6.950725
12535 6 5.029200
12535 7 6.804483
12535 8 7.282503
12535 9 6.814861
12535 10 7.217493
12535 11 -0.612586
12535 12 713.803776
12535 13 7.573541
12535 14 6.984938
12535 15 1.772220
12534 2 5.850339
12534 3 7.045508
12534 4 6.344568
12534 5 6.769229
12534 6 4.985402
12534 7 6.121019
12534 8 6.993155
12534 9 7.145195
12534 10 6.651127
12534 11 4.187447
12534 12 384.043032
12534 13 7.201842
12534 14 7.810935
12534 15 8.096706
12533 2 5.754939
12533 3 7.092490
12533 4 6.649375
12533 5 6.378555
12533 6 4.094248
12533 7 6.092094
12533 8 6.695164
12533 9 7.042123
12533 10 6.972481
12533 11 -2.296038
12533 12 5033.234407
12533 13 7.087000
12533 14 7.196596
12533 15 -1.019389
12532 2 5.896093
12532 3 6.865942
12532 4 6.590768
12532 5 6.434635
12532 6 4.627234
12532 7 6.515973
12532 8 6.411055
12532 9 6.556696
12532 10 6.772628
12532 11 3.065775
12532 12 -81.055039
12532 13 7.156391
12532 14 7.168720
12532 15 4.773023
12531 2 6.148657
12531 3 6.906544
12531 4 6.408264
12531 5 6.218730
12531 6 4.200184
12531 7 6.576825
12531 8 6.484348
12531 9 7.157993
12531 10 7.915147
12531 11 2.180280
12531 12 -83.859405
12531 13 7.135157
12531 14 7.419539
12531 15 4.457821
12530 2 6.281996
12530 3 7.204358
12530 4 6.349532
12530 5 5.898426
12530 6 5.517314
12530 7 6.400007
12530 8 6.351206
12530 9 6.731761
12530 10 6.849823
12530 11 4.396206
12530 12 -83.215036
12530 13 7.018084
12530 14 7.636379
12530 15 7.644148
12529 2 6.102534
12529 3 6.868164
12529 4 6.729767
12529 5 5.721520
12529 6 4.720646
12529 7 6.008593
12529 8 7.047038
12529 9 6.978850
12529 10 6.832541
12529 11 3.010943
12529 12 -97.742729
12529 13 7.496704
12529 14 8.000641
12529 15 6.456769
12528 2 5.689354
12528 3 6.847011
12528 4 6.631748
12528 5 6.132858
12528 6 4.894649
12528 7 6.455365
12528 8 6.449388
12528 9 7.041030
12528 10 7.029377
12528 11 1.316967
12528 12 -77.553237
12528 13 7.167670
12528 14 7.453624
12528 15 3.142982
12527 2 5.480624
12527 3 6.940324
12527 4 6.778322
