# #runID ohdu gainElectron
12540 2 0.679073
12540 3 0.670249
12540 4 0.549143
12540 5 0.575076
12540 6 0.622987
12540 7 0.531942
12540 8 0.702681
12540 9 0.590585
12540 10 0.796975
12540 11 8.003356
12540 12 -51.381350
12540 13 0.593440
12540 14 0.573249
12540 15 2.330139
12539 2 0.654420
12539 3 0.633543
12539 4 0.496900
12539 5 0.563614
12539 6 0.643039
12539 7 0.542466
12539 8 0.635998
12539 9 0.609515
12539 10 0.785252
12539 11 15.807607
12539 12 -32.639103
12539 13 0.593822
12539 14 0.574379
12539 15 2.565521
12538 2 0.637454
12538 3 0.626465
12538 4 0.533674
12538 5 0.541189
12538 6 0.656969
12538 7 0.526373
12538 8 0.738683
12538 9 0.628473
12538 10 0.811309
12538 11 4.964261
12538 12 -72.887189
12538 13 0.575065
12538 14 0.584138
12538 15 2.677897
12537 2 0.626767
12537 3 0.675042
12537 4 0.522094
12537 5 0.533733
12537 6 0.649367
12537 7 0.522562
12537 8 0.710352
12537 9 0.632554
12537 10 0.862617
12537 11 5.842627
12537 12 -15.998514
12537 13 0.599097
12537 14 0.549703
12537 15 2.493106
12536 2 0.645256
12536 3 0.643990
12536 4 0.514802
12536 5 0.555037
12536 6 0.609553
12536 7 0.540230
12536 8 0.665517
12536 9 0.611218
12536 10 0.803600
12536 11 13.623034
12536 12 -20.661405
12536 13 0.621635
12536 14 0.644841
12536 15 1.931302
12535 2 0.642045
12535 3 0.640670
12535 4 0.579991
12535 5 0.567233
12535 6 0.618920
12535 7 0.544335
12535 8 0.715422
12535 9 0.668082
12535 10 0.840780
12535 11 7.666093
12535 12 -29.374184
12535 13 0.581134
12535 14 0.612734
12535 15 1.978157
12534 2 0.659940
12534 3 0.643095
12534 4 0.514130
12534 5 0.573040
12534 6 0.657706
12534 7 0.536439
12534 8 0.689587
12534 9 0.602243
12534 10 0.804244
12534 11 7.987148
12534 12 -16.609826
12534 13 0.571165
12534 14 0.571378
12534 15 2.429431
12533 2 0.643886
12533 3 0.581745
12533 4 0.547239
12533 5 0.552914
12533 6 0.656674
12533 7 0.569051
12533 8 0.670012
12533 9 0.665902
12533 10 0.785253
12533 11 6.863025
12533 12 -208.644102
12533 13 0.618387
12533 14 0.586811
12533 15 2.614970
12532 2 0.642884
12532 3 0.638326
12532 4 0.529327
12532 5 0.547417
12532 6 0.678314
12532 7 0.515288
12532 8 0.695708
12532 9 0.633180
12532 10 0.852476
12532 11 8.381608
12532 12 4.094039
12532 13 0.574095
12532 14 0.569535
12532 15 2.351443
12531 2 0.646015
12531 3 0.593317
12531 4 0.538764
12531 5 0.539500
12531 6 0.637412
12531 7 0.536949
12531 8 0.708007
12531 9 0.561272
12531 10 0.874530
12531 11 7.953979
12531 12 5.026912
12531 13 0.559720
12531 14 0.622442
12531 15 2.403745
12530 2 0.659016
12530 3 0.640349
12530 4 0.487451
12530 5 0.528738
12530 6 0.674793
12530 7 0.530951
12530 8 0.744683
12530 9 0.594603
12530 10 0.732678
12530 11 8.633244
12530 12 5.217299
12530 13 0.580340
12530 14 0.579489
12530 15 2.345622
12529 2 0.636776
12529 3 0.604063
12529 4 0.530617
12529 5 0.525243
12529 6 0.634371
12529 7 0.538605
12529 8 0.639751
12529 9 0.671316
12529 10 0.823181
12529 11 7.643333
12529 12 4.840827
12529 13 0.625653
12529 14 0.578225
12529 15 2.315767
12528 2 0.656220
12528 3 0.621227
12528 4 0.520297
12528 5 0.572795
12528 6 0.656744
12528 7 0.545169
12528 8 0.660698
12528 9 0.612172
12528 10 0.810509
12528 11 11.952797
12528 12 3.438900
12528 13 0.596471
12528 14 0.587627
12528 15 2.562500
12527 2 0.664277
12527 3 0.615010
12527 4 0.554817
12527 5 0.538869
12527 6 0.619421
12527 7 0.540989
12527 8 0.681498
12527 9 0.646124
12527 10 0.786664
12527 11 8.200956
12527 12 4.838842
12527 13 0.609011
12527 14 0.598734
12527 15 2.414979
12526 2 0.636765
12526 3 0.617253
12526 4 0.535121
12526 5 0.527681
12526 6 0.644502
12526 7 0.555525
12526 8 0.684087
12526 9 0.613033
12526 10 0.811021
12526 11 13.757059
12526 12 4.990438
12526 13 0.606709
12526 14 0.577990
12526 15 2.394722
12525 2 0.612639
12525 3 0.620006
12525 4 0.512065
12525 5 0.574900
12525 6 0.634605
12525 7 0.574328
12525 8 0.678032
12525 9 0.595260
12525 10 0.812627
12525 11 7.533647
12525 12 5.646702
12525 13 0.593336
12525 14 0.562708
12525 15 2.170755
12524 2 0.664552
12524 3 0.643434
12524 4 0.538840
12524 5 0.572549
12524 6 0.673883
12524 7 0.540182
12524 8 0.629934
12524 9 0.574013
12524 10 0.910987
12524 11 5.834659
12524 12 5.190374
12524 13 0.603945
12524 14 0.601557
12524 15 2.471577
12523 2 0.600259
12523 3 0.638817
12523 4 0.543187
12523 5 0.555787
12523 6 0.680050
12523 7 0.542097
12523 8 0.670806
12523 9 0.538839
12523 10 0.782527
12523 11 7.950641
12523 12 4.641646
12523 13 0.589605
12523 14 0.569998
12523 15 2.270302
12522 2 0.655060
12522 3 0.597057
12522 4 0.542928
12522 5 0.551688
