# #runID ohdu lambdaBGbinRAW
6521 2 0.213052
6521 3 0.169274
6521 4 0.168881
6521 5 0.230332
6521 6 0.172980
6521 7 0.197192
6521 8 0.226080
6521 9 0.137756
6521 10 0.065450
6521 13 0.162057
6521 14 0.158721
6521 15 0.000000
6322 2 0.183464
6322 3 0.165552
6322 4 0.175435
6322 5 0.184696
6322 6 0.219564
6322 7 0.135275
6322 8 0.226404
6322 9 0.150409
6322 10 0.061056
6322 13 0.158808
6322 14 0.129351
6322 15 0.012384
6323 2 0.216128
6323 3 0.188043
6323 4 0.188425
6323 5 0.210948
6323 6 0.176040
6323 7 0.174778
6323 8 0.207422
6323 9 0.165847
6323 10 0.049259
6323 13 0.178997
6323 14 0.161471
6323 15 0.025494
6324 2 0.225841
6324 3 0.182193
6324 4 0.186839
6324 5 0.229387
6324 6 0.231745
6324 7 0.169369
6324 8 0.216511
6324 9 0.157589
6324 10 0.068171
6324 13 0.151367
6324 14 0.151124
6324 15 0.024247
6325 2 0.246866
6325 3 0.166770
6325 4 0.165495
6325 5 0.222599
6325 6 0.163027
6325 7 0.144066
6325 8 0.223069
6325 9 0.169258
6325 10 0.093912
6325 13 0.154198
6325 14 0.151181
6325 15 0.012234
6326 2 0.210865
6326 3 0.170307
6326 4 0.154637
6326 5 0.212691
6326 6 0.169470
6326 7 0.136840
6326 8 0.213060
6326 9 0.149230
6326 10 0.036102
6326 13 0.157851
6326 14 0.161464
6326 15 0.016251
6327 2 0.196185
6327 3 0.152599
6327 4 0.189900
6327 5 0.224213
6327 6 0.156317
6327 7 0.122422
6327 8 0.198884
6327 9 0.163808
6327 10 0.057838
6327 13 0.168012
6327 14 0.148047
6327 15 0.009612
6328 2 0.173717
6328 3 0.181652
6328 4 0.157168
6328 5 0.203907
6328 6 0.099951
6328 7 0.164896
6328 8 0.220193
6328 9 0.146081
6328 10 0.040004
6328 13 0.154703
6328 14 0.153286
6328 15 0.018579
6329 2 0.234571
6329 3 0.163623
6329 4 0.195999
6329 5 0.198881
6329 6 0.143122
6329 7 0.126503
6329 8 0.207956
