# #runID ohdu lambdaBGbin
6521 2 0.219733
6521 3 0.175901
6521 4 0.177065
6521 5 0.233635
6521 6 0.207354
6521 7 0.201578
6521 8 0.230163
6521 9 0.153636
6521 10 0.064654
6521 13 0.174014
6521 14 0.162089
6521 15 0.013355
6322 2 0.181575
6322 3 0.174976
6322 4 0.192682
6322 5 0.212598
6322 6 0.252788
6322 7 0.157522
6322 8 0.224147
6322 9 0.171693
6322 10 0.071208
6322 13 0.171766
6322 14 0.147839
6322 15 0.020356
6323 2 0.224385
6323 3 0.174041
6323 4 0.204820
6323 5 0.221703
6323 6 0.186250
6323 7 0.195059
6323 8 0.224206
6323 9 0.166767
6323 10 0.069600
6323 13 0.178222
6323 14 0.168376
6323 15 0.037266
6324 2 0.233329
6324 3 0.178311
6324 4 0.187705
6324 5 0.235975
6324 6 0.264625
6324 7 0.160428
6324 8 0.227407
6324 9 0.165556
6324 10 0.067812
6324 13 0.163201
6324 14 0.156677
6324 15 0.032710
6325 2 0.231573
6325 3 0.183572
6325 4 0.178628
6325 5 0.234940
6325 6 0.223983
6325 7 0.169749
6325 8 0.211618
6325 9 0.169215
6325 10 0.081650
6325 13 0.156260
6325 14 0.159381
6325 15 0.025776
6326 2 0.210707
6326 3 0.182140
6326 4 0.187107
6326 5 0.231984
6326 6 0.238314
6326 7 0.157306
6326 8 0.234881
6326 9 0.167466
6326 10 0.054975
6326 13 0.164010
6326 14 0.172561
6326 15 0.026316
6327 2 0.222100
6327 3 0.174965
6327 4 0.210394
6327 5 0.251098
6327 6 0.163649
6327 7 0.128055
6327 8 0.223024
6327 9 0.170763
6327 10 0.064843
6327 13 0.174911
6327 14 0.156457
6327 15 0.022277
6328 2 0.200187
6328 3 0.173265
6328 4 0.167893
6328 5 0.228277
6328 6 0.169268
6328 7 0.183383
6328 8 0.235036
6328 9 0.172575
6328 10 0.056814
6328 13 0.161415
6328 14 0.158973
6328 15 0.031385
6329 2 0.230942
6329 3 0.204570
6329 4 0.190732
6329 5 0.208831
6329 6 0.196909
6329 7 0.126991
6329 8 0.225397
6329 9 0.179103
6329 10 0.065939
6329 13 0.165748
6329 14 0.120780
6329 15 0.023183
6330 2 0.219432
6330 3 0.193098
6330 4 0.199919
6330 5 0.216291
6330 6 0.218622
6330 7 0.150272
6330 8 0.225053
6330 9 0.160336
6330 10 0.084025
6330 13 0.159639
6330 14 0.140869
6330 15 0.025275
6331 2 0.226563
6331 3 0.187355
6331 4 0.196620
6331 5 0.229701
