# #runID ohdu readoutNoise
6711 2 1.314661
6711 3 1.437397
6711 4 1.344743
6711 5 1.429258
6711 6 1.463633
6711 7 1.216553
6711 8 1.499259
6711 9 1.401586
6711 10 1.103530
6711 11 0.335824
6711 12 0.520683
6711 13 1.425950
6711 14 1.220656
6711 15 0.324037
6710 2 13.682751
6710 3 14.379984
6710 4 13.444711
6710 5 12.656462
6710 6 19.893197
6710 7 11.820440
6710 8 13.092593
6710 9 14.365982
6710 10 13.775825
6710 11 9.656668
6710 12 25.630448
6710 13 13.658864
6710 14 12.745418
6710 15 13.166724
6709 2 13.629624
6709 3 14.299265
6709 4 13.472304
6709 5 12.632164
6709 6 19.852838
6709 7 11.848445
6709 8 13.067060
6709 9 14.399752
6709 10 13.804653
6709 11 9.603130
6709 12 24.778364
6709 13 13.680691
6709 14 12.677466
6709 15 13.141190
6708 2 13.659688
6708 3 14.306678
6708 4 13.402292
6708 5 12.596334
6708 6 19.891550
6708 7 11.836914
6708 8 13.078179
6708 9 14.360216
6708 10 13.832658
6708 11 9.599011
6708 12 25.064177
6708 13 13.602443
6708 14 12.700116
6708 15 13.129247
6707 2 13.590088
6707 3 14.330976
6707 4 13.439357
6707 5 12.623927
6707 6 19.968975
6707 7 11.849681
6707 8 13.035349
6707 9 14.291440
6707 10 13.821950
6707 11 9.623309
6707 12 23.904042
6707 13 13.701283
6707 14 12.647402
6707 15 13.137071
6706 2 13.673690
6706 3 14.272908
6706 4 13.480952
6706 5 12.637518
6706 6 19.950030
6706 7 11.881392
6706 8 13.106184
6706 9 14.405930
6706 10 13.831011
6706 11 9.658727
6706 12 23.642940
6706 13 13.652275
6706 14 12.756538
6706 15 13.109067
6705 2 13.641155
6705 3 14.329329
6705 4 13.454595
6705 5 12.617750
6705 6 19.998215
6705 7 11.826206
6705 8 13.103301
6705 9 14.342096
6705 10 13.846248
6705 11 9.686320
6705 12 23.696890
6705 13 13.670396
6705 14 12.707529
6705 15 13.157663
6704 2 13.601208
6704 3 14.337977
6704 4 13.474363
6704 5 12.666758
6704 6 19.993685
6704 7 11.876862
6704 8 13.086004
6704 9 14.398517
6704 10 13.800123
6704 11 9.655021
6704 12 24.885853
6704 13 13.701695
6704 14 12.803898
6704 15 13.102477
6703 2 13.568261
6703 3 14.286498
6703 4 13.480541
6703 5 12.550209
6703 6 19.877959
6703 7 11.821676
6703 8 13.036584
6703 9 14.254375
6703 10 13.799300
6703 11 9.577596
6703 12 24.853318
6703 13 13.628800
6703 14 12.710412
6703 15 13.146132
6702 2 13.574850
6702 3 14.265907
6702 4 13.501544
6702 5 12.630517
6702 6 19.895256
6702 7 11.860800
6702 8 13.063765
6702 9 14.335095
6702 10 13.874665
6702 11 9.611778
6702 12 24.610748
6702 13 13.659688
6702 14 12.780012
6702 15 13.053469
6701 2 13.599560
6701 3 14.281556
6701 4 13.451300
6701 5 12.672524
6701 6 19.892785
6701 7 11.801084
6701 8 13.052646
6701 9 14.276614
6701 10 13.831423
6701 11 9.614249
6701 12 26.138238
6701 13 13.697989
6701 14 12.621044
6701 15 13.177843
6700 2 13.585970
6700 3 14.279497
6700 4 13.429885
6700 5 12.647813
6700 6 19.745349
6700 7 11.831560
6700 8 13.097536
6700 9 14.336742
6700 10 13.789415
6700 11 9.591186
6700 12 24.670876
6700 13 13.671631
6700 14 12.699705
6700 15 13.145720
6699 2 13.577733
6699 3 14.277850
6699 4 13.593383
6699 5 12.600453
6699 6 19.869311
6699 7 11.862859
6699 8 13.068295
6699 9 14.259317
6699 10 13.721463
6699 11 9.651314
6699 12 23.893335
6699 13 13.691399
6699 14 12.647814
6699 15 13.194728
6698 2 13.557553
6698 3 14.247786
6698 4 13.519665
6698 5 12.658521
6698 6 19.866016
6698 7 11.855034
6698 8 13.070766
6698 9 14.174068
6698 10 13.733406
6698 11 9.573478
6698 12 23.831971
6698 13 13.652275
6698 14 12.603336
6698 15 13.126364
6697 2 13.533667
6697 3 14.255199
6697 4 13.570320
6697 5 12.575743
6697 6 19.851190
6697 7 11.841856
6697 8 13.048527
6697 9 14.300089
6697 10 13.721875
6697 11 9.641018
6697 12 24.064657
6697 13 13.677809
6697 14 12.834374
6697 15 13.192669
6696 2 13.581440
6696 3 14.268789
6696 4 13.573203
6696 5 12.594275
6696 6 19.889491
6696 7 11.857917
6696 8 13.046880
6696 9 14.294735
6696 10 13.762235
6696 11 9.607660
6696 12 24.231450
6696 13 13.696341
6696 14 12.798133
6696 15 13.063765
6695 2 13.540256
6695 3 14.260553
6695 4 13.499897
6695 5 12.570389
6695 6 19.838012
6695 7 11.819617
6695 8 13.050998
6695 9 14.221429
6695 10 13.800535
6695 11 9.653785
6695 12 25.022170
6695 13 13.624682
6695 14 12.795250
6695 15 13.107420
6694 2 13.602031
6694 3 14.281144
6694 4 13.464479
6694 5 12.641224
6694 6 19.753174
6694 7 11.811380
6694 8 13.088063
6694 9 14.300089
6694 10 13.800535
6694 11 9.576360
6694 12 25.920790
6694 13 13.603267
6694 14 12.752007
6694 15 13.025465
6693 2 13.689340
6693 3 14.329741
6693 4 13.433180
6693 5 12.684467
6693 6 19.957031
6693 7 11.879744
6693 8 13.065413
6693 9 14.356922
6693 10 13.880431
6693 11 9.638547
6693 12 27.082984
6693 13 13.640744
6693 14 12.788249
6693 15 13.136248
6692 2 13.638685
6692 3 14.343331
6692 4 13.434003
6692 5 12.661404
6692 6 19.854073
6692 7 11.852563
6692 8 13.062118
6692 9 14.345390
6692 10 13.827716
6692 11 9.599835
6692 12 26.889010
6692 13 13.661335
6692 14 12.780012
6692 15 13.104948
6691 2 13.646097
6691 3 14.290205
6691 4 13.484659
6691 5 12.609513
6691 6 19.840894
6691 7 11.829089
6691 8 13.041938
6691 9 14.361040
6691 10 13.803006
6691 11 9.652550
6691 12 26.986615
6691 13 13.659276
6691 14 12.796485
6691 15 13.168783
6690 2 13.664630
6690 3 14.340448
6690 4 13.432768
6690 5 12.680348
6690 6 19.863133
6690 7 11.889628
6690 8 13.118951
6690 9 14.429816
6690 10 13.841718
6690 11 9.597776
6690 12 26.309149
6690 13 13.695929
6690 14 12.775894
6690 15 13.165900
6689 2 13.577321
6689 3 14.262200
6689 4 13.535314
6689 5 12.590157
6689 6 19.904729
6689 7 11.853387
6689 8 13.109479
6689 9 14.279909
6689 10 13.812478
6689 11 9.602718
6689 12 27.295490
6689 13 13.637449
6689 14 12.831079
6689 15 13.093005
6688 2 13.587205
6688 3 14.281968
6688 4 13.604914
6688 5 12.642872
6688 6 19.921202
6688 7 11.892099
6688 8 13.142425
6688 9 14.223900
6688 10 13.746173
6688 11 9.636076
6688 12 25.877136
6688 13 13.632919
6688 14 12.813371
6688 15 13.087652
6687 2 13.651451
6687 3 14.364747
6687 4 13.503191
6687 5 12.644519
6687 6 19.952089
6687 7 11.850092
6687 8 13.123893
6687 9 14.321092
6687 10 13.847484
6687 11 9.620015
6687 12 25.323632
6687 13 13.740819
6687 14 12.836433
6687 15 13.041526
6686 2 13.611915
6686 3 14.288969
6686 4 13.553023
6686 5 12.608689
6686 6 19.961150
6686 7 11.792848
6686 8 13.061706
6686 9 14.220605
6686 10 13.796417
6686 11 9.638135
6686 12 25.583087
6686 13 13.683574
6686 14 12.839728
6686 15 13.065413
6685 2 13.547669
6685 3 14.251081
6685 4 13.521724
6685 5 12.623515
6685 6 19.980918
6685 7 11.754547
6685 8 13.065413
6685 9 14.216898
6685 10 13.745349
6685 11 9.620015
6685 12 23.785434
6685 13 13.626741
6685 14 12.843846
6685 15 13.124717
6684 2 13.581440
6684 3 14.280733
6684 4 13.492896
6684 5 12.596334
6684 6 20.003569
6684 7 11.834031
6684 8 13.078179
6684 9 14.225959
6684 10 13.847072
6684 11 9.621250
6684 12 25.214496
6684 13 13.676573
6684 14 12.834786
6684 15 13.113597
6683 2 13.570732
6683 3 14.213604
6683 4 13.570732
6683 5 12.642048
6683 6 19.945500
6683 7 11.773491
6683 8 13.119363
6683 9 14.201249
6683 10 13.755233
6683 11 9.631546
6683 12 25.723110
6683 13 13.634978
6683 14 12.829020
6683 15 13.131718
6682 2 13.582675
6682 3 14.242020
6682 4 13.491248
6682 5 12.643283
6682 6 19.819891
6682 7 11.834443
6682 8 13.143249
6682 9 14.128354
6682 10 13.756057
6682 11 9.565653
6682 12 25.528725
6682 13 13.620976
6682 14 12.825314
6682 15 13.102066
6681 2 13.689340
6681 3 14.323563
6681 4 13.415471
6681 5 12.677466
6681 6 19.866428
6681 7 11.886334
6681 8 13.060882
6681 9 14.310385
6681 10 13.867252
6681 11 9.603130
6681 12 27.116342
6681 13 13.682339
6681 14 12.710000
6681 15 13.156016
6680 2 13.651863
6680 3 14.298441
6680 4 13.382936
6680 5 12.712883
6680 6 19.955796
6680 7 11.884686
6680 8 13.123893
6680 9 14.288557
6680 10 13.851602
6680 11 9.594893
6680 12 28.173930
6680 13 13.675750
6680 14 12.728121
6680 15 13.181550
6679 2 13.679868
6679 3 14.330976
6679 4 13.419177
6679 5 12.593452
6679 6 19.868899
6679 7 11.841444
6679 8 13.100418
6679 9 14.316562
6679 10 13.903081
6679 11 9.601482
6679 12 28.664835
6679 13 13.613974
6679 14 12.805134
6679 15 13.097947
6713 2 13.562495
6713 3 14.283204
6713 4 13.664218
6713 5 12.617750
6713 6 20.002333
6713 7 11.841444
6713 8 13.099183
6713 9 14.603198
6713 10 13.750291
6713 11 9.637312
6713 12 25.001578
6713 13 13.690575
6713 14 12.739652
6713 15 13.093417
6712 2 13.678221
6712 3 14.308326
6712 4 13.471068
6712 5 12.669641
6712 6 20.009334
6712 7 11.889216
6712 8 13.081474
6712 9 14.365158
6712 10 13.824833
6712 11 9.634017
6712 12 25.545198
6712 13 13.630036
6712 14 12.840140
6712 15 13.130894
6678 2 13.649392
6678 3 14.268789
6678 4 13.420001
6678 5 12.598805
6678 6 19.896492
6678 7 11.870272
6678 8 13.064589
6678 9 14.290617
6678 10 13.860663
6678 11 9.640195
6678 12 28.484452
6678 13 13.631683
6678 14 12.810488
6678 15 13.120598
6677 2 13.617681
6677 3 14.306678
6677 4 13.402292
6677 5 12.620221
6677 6 19.814949
6677 7 11.814263
6677 8 13.021346
6677 9 14.288557
6677 10 13.932322
6677 11 9.580067
6677 12 28.562289
6677 13 13.619740
6677 14 12.857848
6677 15 13.069943
6676 2 13.646509
6676 3 14.270025
6676 4 13.440181
6676 5 12.673759
6676 6 19.810007
6676 7 11.866978
6676 8 13.069943
6676 9 14.279497
6676 10 13.878371
6676 11 9.573066
6676 12 28.054498
6676 13 13.668748
6676 14 12.782895
6676 15 13.139954
6675 2 13.595854
6675 3 14.289793
6675 4 13.411764
6675 5 12.579861
6675 6 19.897316
6675 7 11.845150
6675 8 13.082709
6675 9 14.288969
6675 10 13.842130
6675 11 9.627428
6675 12 28.007138
6675 13 13.590912
6675 14 12.962454
6675 15 13.092182
6674 2 13.644038
6674 3 14.298441
6674 4 13.365227
6674 5 12.651520
6674 6 19.903081
6674 7 11.888393
6674 8 13.106184
6674 9 14.268378
6674 10 13.865193
6674 11 9.554945
6674 12 27.257601
6674 13 13.662159
6674 14 12.702999
6674 15 13.135012
6673 2 13.660512
6673 3 14.350744
6673 4 13.384583
6673 5 12.639165
6673 6 19.832658
6673 7 11.863683
6673 8 13.073649
6673 9 14.255199
6673 10 13.820303
6673 11 9.613425
6673 12 26.391516
6673 13 13.604914
6673 14 12.768481
6673 15 13.119775
6672 2 13.618093
6672 3 14.284851
6672 4 13.472304
6672 5 12.621868
6672 6 19.776237
6672 7 11.852151
6672 8 13.106184
6672 9 14.194248
6672 10 13.794769
6672 11 9.581714
6672 12 27.013796
6672 13 13.611503
6672 14 12.822843
6672 15 13.151898
6671 2 13.567026
6671 3 14.269613
6671 4 13.567437
6671 5 12.642872
6671 6 19.889491
6671 7 11.775962
6671 8 13.054293
6671 9 14.134532
6671 10 13.766353
6671 11 9.622898
6671 12 26.784816
6671 13 13.689752
6671 14 12.596334
6671 15 13.177843
6670 2 13.697577
6670 3 14.360216
6670 4 13.376347
6670 5 12.653991
6670 6 19.887844
6670 7 11.897865
6670 8 13.111126
6670 9 14.286910
6670 10 13.842954
6670 11 9.587480
6670 12 26.362687
6670 13 13.706225
6670 14 12.850024
6670 15 13.105360
6669 2 13.659276
6669 3 14.367629
6669 4 13.402704
6669 5 12.673759
6669 6 19.874253
6669 7 11.861624
6669 8 13.097124
6669 9 14.228842
6669 10 13.814125
6669 11 9.555769
6669 12 26.360628
6669 13 13.634154
6669 14 12.748713
6669 15 13.121834
6668 2 13.590912
6668 3 14.295559
6668 4 13.457478
6668 5 12.622280
6668 6 19.938499
6668 7 11.824970
6668 8 13.070355
6668 9 14.158830
6668 10 13.791475
6668 11 9.558240
6668 12 26.252316
6668 13 13.737936
6668 14 12.576978
6668 15 13.186903
6667 2 13.615210
6667 3 14.342919
6667 4 13.379641
6667 5 12.684878
6667 6 19.902669
6667 7 11.906514
6667 8 13.117304
6667 9 14.244903
6667 10 13.843366
6667 11 9.500171
6667 12 26.022101
6667 13 13.716109
6667 14 12.708353
6667 15 13.145308
6666 2 13.628389
6666 3 14.333035
6666 4 13.377170
6666 5 12.677466
6666 6 19.938911
6666 7 11.866154
6666 8 13.072826
6666 9 14.213604
6666 10 13.901022
6666 11 9.500171
6666 12 26.803761
6666 13 13.682751
6666 14 12.913446
6666 15 13.098359
6665 2 13.652275
6665 3 14.269201
6665 4 13.456654
6665 5 12.685702
6665 6 19.958267
6665 7 11.901160
6665 8 13.069943
6665 9 14.242844
6665 10 13.869311
6665 11 9.525705
6665 12 26.522890
6665 13 13.670807
6665 14 12.809664
6665 15 13.124305
6664 2 13.631683
6664 3 14.311208
6664 4 13.369345
6664 5 12.639577
6664 6 19.887432
6664 7 11.868625
6664 8 13.020111
6664 9 14.260141
6664 10 13.852014
6664 11 9.581714
6664 12 26.768755
6664 13 13.620564
6664 14 12.789072
6664 15 13.067060
6663 2 13.632507
6663 3 14.325211
6663 4 13.427002
6663 5 12.602512
6663 6 20.014688
6663 7 11.820028
6663 8 13.037820
6663 9 14.217722
6663 10 13.861898
6663 11 9.592010
6663 12 27.228773
6663 13 13.660100
6663 14 12.802251
6663 15 13.124717
6662 2 13.576498
6662 3 14.306266
6662 4 13.463655
6662 5 12.581097
6662 6 19.996567
6662 7 11.807262
6662 8 13.078591
6662 9 14.339625
6662 10 13.758940
6662 11 9.592834
6662 12 25.304687
6662 13 13.642391
6662 14 12.794014
