# #runID ohdu sigmaOSMAD2
10095 2 14.622532
10095 3 46.369287
10095 4 46.605809
10095 5 43.808109
10095 6 16.603491
10095 7 43.177472
10095 8 46.057809
10095 9 15.458201
10095 10 13.686890
10095 11 26.986128
10095 12 28.749410
10095 13 14.623584
10095 14 13.700879
10095 15 24.179375
10094 2 15.622861
10094 3 46.676169
10094 4 46.689303
10094 5 45.952350
10094 6 16.475970
10094 7 43.426794
10094 8 44.752715
10094 9 14.663852
10094 10 13.667162
10094 11 27.080363
10094 12 28.583655
10094 13 16.379147
10094 14 13.627392
10094 15 12.258917
10093 2 15.327106
10093 3 46.165795
10093 4 47.054961
10093 5 44.398794
10093 6 16.209930
10093 7 42.942871
10093 8 44.989976
10093 9 14.346342
10093 10 13.658285
10093 11 26.801698
10093 12 29.949802
10093 13 16.257179
10093 14 13.584390
10093 15 12.135706
10092 2 15.047966
10092 3 46.226460
10092 4 46.529408
10092 5 43.689092
10092 6 16.667417
10092 7 42.893463
10092 8 44.924350
10092 9 15.304052
10092 10 13.747578
10092 11 26.837871
10092 12 29.502617
10092 13 15.915924
10092 14 13.438355
10092 15 12.615845
10091 2 15.303953
10091 3 46.056385
10091 4 46.929599
10091 5 43.917201
10091 6 16.331997
10091 7 42.748966
10091 8 45.082472
10091 9 14.606141
10091 10 13.671994
10091 11 26.922131
10091 12 29.057803
10091 13 16.852793
10091 14 13.481582
10091 15 12.061763
10090 2 14.567832
10090 3 45.993294
10090 4 46.917057
10090 5 43.770061
10090 6 16.521334
10090 7 43.125335
10090 8 45.207539
10090 9 14.682918
10090 10 13.592389
10090 11 26.865752
10090 12 30.316653
10090 13 15.374914
10090 14 13.053777
10090 15 13.210288
10089 2 14.180527
10089 3 46.091042
10089 4 46.623910
10089 5 43.370657
10089 6 16.757078
10089 7 42.899276
10089 8 45.391650
10089 9 14.743651
10089 10 13.810273
10089 11 26.737176
10089 12 29.927831
10089 13 15.080485
10089 14 14.032729
10089 15 14.188244
10088 2 17.036694
10088 3 47.464704
10088 4 46.621629
10088 5 44.172896
10088 6 16.022669
10088 7 42.703377
10088 8 47.165099
10088 9 14.105488
10088 10 13.978227
10088 11 26.683573
10088 12 30.349347
10088 13 18.783405
10088 14 14.614853
10088 15 13.589656
10087 2 15.713365
10087 3 46.154841
10087 4 46.922190
10087 5 44.603441
10087 6 16.052420
10087 7 42.695251
10087 8 45.826921
10087 9 14.113460
10087 10 13.720676
10087 11 26.640019
10087 12 29.799612
10087 13 18.431721
10087 14 14.152748
10087 15 12.011424
10086 2 14.651790
10086 3 46.349646
10086 4 47.072088
10086 5 43.479736
10086 6 16.345883
10086 7 43.551630
10086 8 45.403177
10086 9 14.854931
10086 10 14.192930
10086 11 26.856411
10086 12 29.681138
10086 13 14.972225
10086 14 13.975907
10086 15 13.667712
10085 2 14.903370
10085 3 46.740711
10085 4 47.359262
10085 5 44.019350
10085 6 16.371100
10085 7 42.921844
10085 8 45.890123
10085 9 14.554718
10085 10 14.072462
10085 11 26.832794
10085 12 30.329071
10085 13 15.038131
10085 14 13.658644
10085 15 15.787010
10084 2 14.279473
10084 3 46.236990
10084 4 47.021797
10084 5 43.363014
10084 6 16.550521
10084 7 42.890098
10084 8 45.766427
10084 9 14.722909
10084 10 13.846053
10084 11 26.795699
10084 12 30.517552
10084 13 15.003228
10084 14 13.718335
10084 15 14.976029
10083 2 15.041047
10083 3 46.346056
10083 4 46.453971
10083 5 44.349926
10083 6 16.102328
10083 7 43.375560
10083 8 44.995049
10083 9 15.307498
10083 10 13.536419
10083 11 27.017434
10083 12 29.642832
10083 13 18.567246
10083 14 13.876305
10083 15 12.761620
10082 2 15.318182
10082 3 47.535557
10082 4 46.674718
10082 5 44.009407
10082 6 16.017815
10082 7 43.084083
10082 8 45.663585
10082 9 14.525785
10082 10 13.734779
10082 11 26.882371
10082 12 29.881667
10082 13 19.326672
10082 14 13.698167
10082 15 12.891319
10081 2 14.255938
10081 3 45.966493
10081 4 46.904422
10081 5 44.187104
10081 6 16.172931
10081 7 43.339543
10081 8 45.801398
10081 9 14.451661
10081 10 14.272197
10081 11 26.867114
10081 12 29.271265
10081 13 15.698155
10081 14 13.978318
10081 15 12.638694
10080 2 14.156305
10080 3 45.978635
10080 4 46.658781
10080 5 44.661216
10080 6 16.362181
10080 7 43.051533
10080 8 45.282851
10080 9 15.172548
10080 10 14.581167
10080 11 26.933749
10080 12 29.413001
10080 13 15.787787
10080 14 13.164230
10080 15 13.047332
10079 2 14.791410
10079 3 46.247301
10079 4 46.634339
10079 5 44.566648
10079 6 16.320916
10079 7 42.988709
10079 8 45.472356
10079 9 15.144414
10079 10 13.924305
10079 11 26.929469
10079 12 29.738427
10079 13 14.570796
10079 14 13.892580
10079 15 13.113792
10078 2 14.554096
10078 3 46.183021
10078 4 47.188845
10078 5 43.846722
10078 6 16.255882
10078 7 43.179216
10078 8 45.425569
10078 9 15.244743
10078 10 13.917176
10078 11 26.881156
10078 12 28.764663
10078 13 15.036809
10078 14 13.328330
10078 15 13.065302
10077 2 14.265498
10077 3 46.160905
10077 4 47.640548
10077 5 43.369263
10077 6 16.194765
10077 7 43.565255
10077 8 45.269944
10077 9 14.880026
10077 10 14.249204
10077 11 26.875914
10077 12 30.220440
10077 13 15.683374
10077 14 13.526616
10077 15 12.982801
10076 2 14.494257
10076 3 46.259803
10076 4 48.190474
10076 5 43.978933
10076 6 16.272955
10076 7 43.725659
10076 8 45.878559
10076 9 14.768994
10076 10 14.323935
10076 11 26.876444
10076 12 29.034207
10076 13 15.006211
10076 14 13.447813
10076 15 13.305099
10075 2 14.949190
10075 3 48.137523
10075 4 48.269320
10075 5 45.245952
10075 6 16.156568
10075 7 43.590651
10075 8 49.823924
10075 9 14.520339
10075 10 13.562582
10075 11 26.946131
10075 12 29.335196
10075 13 16.108993
10075 14 12.871388
10075 15 13.044619
10074 2 14.441764
10074 3 46.216973
10074 4 47.311541
10074 5 44.387878
10074 6 16.080244
10074 7 43.509973
10074 8 45.412105
10074 9 13.844278
10074 10 13.924415
10074 11 26.904246
10074 12 29.433649
10074 13 14.020663
10074 14 12.928589
10074 15 12.990783
10073 2 15.518176
10073 3 47.104599
10073 4 47.247634
10073 5 44.400679
10073 6 16.014626
10073 7 43.099445
10073 8 46.819131
10073 9 13.799668
10073 10 13.553259
10073 11 26.878695
10073 12 29.557869
10073 13 40.839308
10073 14 12.820646
10073 15 13.326064
10072 2 14.967109
10072 3 47.295788
10072 4 47.225112
10072 5 45.549378
10072 6 16.022952
10072 7 43.477108
10072 8 44.992460
10072 9 13.977820
10072 10 13.864477
10072 11 26.973641
10072 12 29.846989
10072 13 14.327045
10072 14 12.766570
10072 15 13.353806
10071 2 14.444329
10071 3 46.283679
10071 4 47.273400
10071 5 45.193450
10071 6 16.009930
10071 7 43.374418
10071 8 45.940976
10071 9 13.790084
10071 10 13.945474
10071 11 26.906454
10071 12 29.291376
10071 13 22.746761
10071 14 12.857965
10071 15 12.664015
10070 2 14.653545
10070 3 46.389590
10070 4 46.968245
10070 5 44.350071
10070 6 16.071343
10070 7 43.468843
10070 8 45.170232
10070 9 13.819966
10070 10 14.263341
10070 11 27.032173
10070 12 29.144443
10070 13 14.506635
10070 14 12.783900
10070 15 14.896582
10069 2 14.617040
10069 3 46.703694
10069 4 46.834929
10069 5 44.501784
10069 6 16.140409
10069 7 43.182265
10069 8 45.081397
10069 9 13.777727
10069 10 13.827121
10069 11 26.907103
10069 12 28.700385
10069 13 13.888679
10069 14 13.218032
10069 15 12.698661
10068 2 14.705254
10068 3 46.567515
10068 4 46.709409
10068 5 44.083262
10068 6 16.080433
10068 7 43.138731
10068 8 45.100760
10068 9 13.754480
10068 10 13.893543
10068 11 26.924729
10068 12 29.157877
10068 13 14.288307
10068 14 13.439990
10068 15 13.129685
10067 2 14.803571
10067 3 47.454877
10067 4 46.827641
10067 5 44.681210
10067 6 16.080096
10067 7 43.366014
10067 8 45.415256
10067 9 13.794349
10067 10 14.055677
10067 11 26.962747
10067 12 29.483399
10067 13 13.991041
10067 14 13.136797
10067 15 12.513538
10066 2 15.133148
10066 3 46.215828
10066 4 46.447002
10066 5 44.045138
10066 6 16.027960
10066 7 43.169309
10066 8 44.920331
10066 9 13.770345
10066 10 13.733824
10066 11 27.108416
10066 12 29.625748
10066 13 14.483494
10066 14 13.460075
10066 15 12.407791
10065 2 14.208847
10065 3 46.208562
10065 4 46.966675
10065 5 44.235421
10065 6 16.122813
10065 7 44.068393
10065 8 45.251064
10065 9 14.122933
10065 10 14.059445
10065 11 26.890953
10065 12 30.080983
10065 13 14.015405
10065 14 13.838956
10065 15 12.838021
10064 2 14.246449
10064 3 46.337883
10064 4 46.476022
10064 5 44.195586
10064 6 16.272725
10064 7 43.625750
10064 8 44.792154
10064 9 14.144867
10064 10 14.096669
10064 11 26.937739
10064 12 29.855858
10064 13 18.871800
10064 14 13.832549
10064 15 13.918100
10063 2 14.948427
10063 3 47.922264
10063 4 46.260839
10063 5 45.521554
10063 6 16.127720
10063 7 43.206805
10063 8 45.470533
10063 9 14.256438
10063 10 13.627262
10063 11 27.037911
10063 12 28.856800
10063 13 13.933217
10063 14 13.794241
10063 15 12.212225
10062 2 14.213185
10062 3 46.256836
10062 4 46.399090
10062 5 44.024805
10062 6 16.400197
10062 7 43.966983
10062 8 45.751148
10062 9 13.851036
10062 10 13.846420
10062 11 27.072160
10062 12 28.901264
10062 13 20.425143
10062 14 13.073194
10062 15 12.879803
10061 2 14.233039
10061 3 46.573730
10061 4 46.593534
10061 5 44.283489
10061 6 16.298829
10061 7 43.948096
10061 8 45.606860
10061 9 13.848303
10061 10 13.821202
10061 11 26.957485
10061 12 29.267740
10061 13 13.982362
10061 14 12.776927
10061 15 13.624209
10060 2 15.943464
10060 3 48.187820
10060 4 47.220939
10060 5 45.582306
10060 6 16.000453
10060 7 43.248790
10060 8 45.352056
10060 9 13.836730
10060 10 13.527181
10060 11 27.052858
10060 12 30.058999
10060 13 14.262503
10060 14 12.837405
10060 15 12.653603
10059 2 15.000554
10059 3 46.527869
10059 4 47.038991
10059 5 44.501884
10059 6 16.053398
10059 7 43.156585
10059 8 45.055386
10059 9 13.770282
10059 10 13.495822
10059 11 27.098805
10059 12 30.108838
10059 13 13.784393
10059 14 12.994655
10059 15 12.138931
10058 2 14.255365
10058 3 46.511224
10058 4 47.023953
10058 5 43.569910
10058 6 16.283257
10058 7 43.747358
10058 8 44.859554
10058 9 13.769760
10058 10 13.932865
10058 11 26.948210
10058 12 29.355232
10058 13 18.157050
10058 14 12.905604
10058 15 20.386221
10057 2 14.283868
10057 3 46.036565
10057 4 46.690627
10057 5 44.282099
10057 6 16.393530
10057 7 44.412243
10057 8 45.551159
10057 9 13.774202
10057 10 13.791171
10057 11 26.937680
10057 12 29.864239
10057 13 14.488794
10057 14 12.892600
10057 15 12.649524
10056 2 14.255952
10056 3 46.731176
10056 4 46.678386
10056 5 44.801348
10056 6 16.433317
10056 7 43.419374
10056 8 45.210788
10056 9 13.832041
10056 10 13.642527
10056 11 26.989700
10056 12 28.758868
10056 13 14.041347
10056 14 13.365113
10056 15 16.827007
10055 2 14.276306
10055 3 46.350368
10055 4 46.588273
10055 5 43.650317
10055 6 16.674892
10055 7 44.382865
10055 8 45.747143
10055 9 14.176356
