# #runID ohdu sigmaOSMAD
10095 2 14.589274
10095 3 46.305011
10095 4 46.481397
10095 5 43.721330
10095 6 16.576784
10095 7 43.093522
10095 8 45.658584
10095 9 15.492667
10095 10 13.677125
10095 11 26.959347
10095 12 28.699876
10095 13 14.668589
10095 14 13.728337
10095 15 24.777546
10094 2 15.629418
10094 3 46.430702
10094 4 46.666232
10094 5 45.891684
10094 6 16.445431
10094 7 43.355712
10094 8 44.678164
10094 9 14.657241
10094 10 13.648216
10094 11 27.039080
10094 12 28.506468
10094 13 16.466677
10094 14 13.615914
10094 15 12.242599
10093 2 15.320979
10093 3 46.151833
10093 4 46.974455
10093 5 44.391654
10093 6 16.189478
10093 7 42.899605
10093 8 44.865808
10093 9 14.349792
10093 10 13.638932
10093 11 26.745326
10093 12 29.870097
10093 13 16.277984
10093 14 13.581923
10093 15 12.131832
10092 2 15.054415
10092 3 46.201865
10092 4 46.493309
10092 5 43.662295
10092 6 16.652924
10092 7 42.880223
10092 8 44.861552
10092 9 15.310582
10092 10 13.747899
10092 11 26.795197
10092 12 29.479489
10092 13 16.016408
10092 14 13.433940
10092 15 12.637371
10091 2 15.293433
10091 3 46.003669
10091 4 46.910512
10091 5 43.863617
10091 6 16.332526
10091 7 42.698910
10091 8 44.947280
10091 9 14.606607
10091 10 13.644421
10091 11 26.839490
10091 12 29.047371
10091 13 16.909057
10091 14 13.471489
10091 15 12.032354
10090 2 14.567470
10090 3 45.962680
10090 4 46.883279
10090 5 43.695205
10090 6 16.502486
10090 7 43.079915
10090 8 45.143838
10090 9 14.676422
10090 10 13.572751
10090 11 26.803289
10090 12 30.252393
10090 13 15.414200
10090 14 13.038897
10090 15 13.458575
10089 2 14.140312
10089 3 45.968577
10089 4 46.554961
10089 5 43.303079
10089 6 16.738814
10089 7 42.892400
10089 8 45.103429
10089 9 14.770252
10089 10 13.803962
10089 11 26.665230
10089 12 29.853553
10089 13 15.170047
10089 14 14.056417
10089 15 14.761086
10088 2 17.041334
10088 3 47.464402
10088 4 46.582094
10088 5 44.147649
10088 6 16.007550
10088 7 42.646045
10088 8 47.081250
10088 9 14.094507
10088 10 13.968978
10088 11 26.648154
10088 12 30.301232
10088 13 18.851014
10088 14 14.655751
10088 15 13.683289
10087 2 15.703632
10087 3 46.087514
10087 4 46.928014
10087 5 44.558486
10087 6 16.031321
10087 7 42.673419
10087 8 45.747990
10087 9 14.092663
10087 10 13.705607
10087 11 26.603629
10087 12 29.760869
10087 13 18.480184
10087 14 14.153990
10087 15 11.993691
10086 2 14.637315
10086 3 46.260996
10086 4 46.969785
10086 5 43.441666
10086 6 16.325586
10086 7 43.503320
10086 8 45.175316
10086 9 14.867271
10086 10 14.206931
10086 11 26.814035
10086 12 29.640972
10086 13 14.994126
10086 14 13.990400
10086 15 13.992338
10085 2 14.931790
10085 3 46.401339
10085 4 47.251006
10085 5 43.871595
10085 6 16.373107
10085 7 42.846370
10085 8 45.481859
10085 9 14.561357
10085 10 14.083912
10085 11 26.738178
10085 12 30.300049
10085 13 15.101911
10085 14 13.668449
10085 15 16.933231
10084 2 14.222540
10084 3 46.076309
10084 4 46.922416
10084 5 43.251153
10084 6 16.530232
10084 7 42.752395
10084 8 45.626881
10084 9 14.741897
10084 10 13.844270
10084 11 26.764019
10084 12 30.482306
10084 13 15.067259
10084 14 13.727188
10084 15 15.814062
10083 2 15.025968
10083 3 46.240389
10083 4 46.438489
10083 5 44.291036
10083 6 16.083789
10083 7 43.308510
10083 8 44.917844
10083 9 15.329410
10083 10 13.521979
10083 11 26.982244
10083 12 29.530888
10083 13 18.684142
10083 14 13.883503
10083 15 12.762663
10082 2 15.324059
10082 3 46.963718
10082 4 46.661533
10082 5 43.864499
10082 6 15.998437
10082 7 43.003645
10082 8 45.294475
10082 9 14.533853
10082 10 13.720198
10082 11 26.838708
10082 12 29.852017
10082 13 19.432314
10082 14 13.704555
10082 15 12.928007
10081 2 14.218651
10081 3 45.839883
10081 4 46.822104
10081 5 44.153146
10081 6 16.172975
10081 7 43.331459
10081 8 45.614761
10081 9 14.457850
10081 10 14.281603
10081 11 26.830708
10081 12 29.216995
10081 13 15.726462
10081 14 13.975558
10081 15 12.727113
10080 2 14.121766
10080 3 45.893020
10080 4 46.657342
10080 5 44.553497
10080 6 16.346993
10080 7 42.962045
10080 8 44.913834
10080 9 15.223034
10080 10 14.593249
10080 11 26.875064
10080 12 29.396699
10080 13 15.858738
10080 14 13.167361
10080 15 13.297237
10079 2 14.779287
10079 3 46.130090
10079 4 46.582953
10079 5 44.543280
10079 6 16.308541
10079 7 42.928183
10079 8 45.298379
10079 9 15.162262
10079 10 13.915788
10079 11 26.842571
10079 12 29.723439
10079 13 14.635265
10079 14 13.922377
10079 15 13.285493
10078 2 14.549105
10078 3 46.146168
10078 4 47.192841
10078 5 43.721249
10078 6 16.232200
10078 7 43.106319
10078 8 45.327529
10078 9 15.254797
10078 10 13.907342
10078 11 26.844290
10078 12 28.693969
10078 13 15.079168
10078 14 13.321832
10078 15 13.178397
10077 2 14.214544
10077 3 45.991965
10077 4 47.592087
10077 5 43.287126
10077 6 16.169136
10077 7 43.518910
10077 8 45.055306
10077 9 14.888741
10077 10 14.259759
10077 11 26.837378
10077 12 30.179630
10077 13 15.809522
10077 14 13.534174
10077 15 13.189716
10076 2 14.471212
10076 3 46.146150
10076 4 48.157951
10076 5 43.916711
10076 6 16.271592
10076 7 43.679821
10076 8 45.796879
10076 9 14.771716
10076 10 14.325985
10076 11 26.798079
10076 12 29.005317
10076 13 15.022553
10076 14 13.453821
10076 15 13.613133
10075 2 14.929117
10075 3 48.098111
10075 4 48.239162
10075 5 45.191310
10075 6 16.135654
10075 7 43.588758
10075 8 49.668429
10075 9 14.517770
10075 10 13.544335
10075 11 26.871386
10075 12 29.265261
10075 13 16.234072
10075 14 12.848622
10075 15 13.085201
10074 2 14.426549
10074 3 46.105104
10074 4 47.241926
10074 5 44.333774
10074 6 16.063112
10074 7 43.419852
10074 8 45.309258
10074 9 13.825474
10074 10 13.927043
10074 11 26.878903
10074 12 29.375819
10074 13 13.983391
10074 14 12.913353
10074 15 13.069670
10073 2 15.520285
10073 3 46.948460
10073 4 47.211777
10073 5 44.329277
10073 6 15.994105
10073 7 43.088463
10073 8 46.699151
10073 9 13.778570
10073 10 13.539186
10073 11 26.818014
10073 12 29.539201
10073 13 40.754710
10073 14 12.812436
10073 15 13.340539
10072 2 14.956792
10072 3 46.996275
10072 4 47.152402
10072 5 45.449766
10072 6 15.994344
10072 7 43.394379
10072 8 44.850417
10072 9 13.954014
10072 10 13.854935
10072 11 26.948055
10072 12 29.848349
10072 13 14.291989
10072 14 12.744889
10072 15 13.395536
10071 2 14.422635
10071 3 46.111051
10071 4 47.170926
10071 5 45.047701
10071 6 15.964032
10071 7 43.309097
10071 8 45.557498
10071 9 13.747744
10071 10 13.949293
10071 11 26.811366
10071 12 29.261703
10071 13 22.855076
10071 14 12.844961
10071 15 12.681936
10070 2 14.638723
10070 3 46.171573
10070 4 46.868916
10070 5 44.231878
10070 6 16.058590
10070 7 43.351224
10070 8 44.876531
10070 9 13.793751
10070 10 14.283862
10070 11 26.940510
10070 12 29.103633
10070 13 14.446662
10070 14 12.767163
10070 15 16.006542
10069 2 14.558681
