# #runID ohdu sigmaOS
10095 2 15.029297
10095 3 372.822374
10095 4 278.469535
10095 5 269.337351
10095 6 16.718091
10095 7 286.922923
10095 8 422.969003
10095 9 23.370348
10095 10 21.250155
10095 11 323.602909
10095 12 29.735105
10095 13 36.600137
10095 14 38.975851
10095 15 22.336096
10094 2 15.889820
10094 3 372.550264
10094 4 277.690252
10094 5 271.635191
10094 6 16.542772
10094 7 284.626785
10094 8 416.201111
10094 9 15.005092
10094 10 20.056641
10094 11 322.069974
10094 12 29.488891
10094 13 41.984517
10094 14 31.074284
10094 15 12.446582
10093 2 19.251361
10093 3 372.688175
10093 4 277.693068
10093 5 269.921144
10093 6 17.388184
10093 7 283.776957
10093 8 419.172787
10093 9 25.409948
10093 10 26.693001
10093 11 321.454792
10093 12 30.480548
10093 13 16.234176
10093 14 17.145353
10093 15 12.301900
10092 2 63.935828
10092 3 371.917610
10092 4 276.141254
10092 5 267.597824
10092 6 16.848057
10092 7 283.021452
10092 8 418.610431
10092 9 31.745179
10092 10 19.065525
10092 11 323.413711
10092 12 30.092972
10092 13 55.089547
10092 14 18.317483
10092 15 12.850151
10091 2 15.607971
10091 3 371.649682
10091 4 279.386380
10091 5 268.279486
10091 6 16.438429
10091 7 283.299724
10091 8 420.673517
10091 9 34.115531
10091 10 16.029367
10091 11 325.000799
10091 12 29.651087
10091 13 16.657967
10091 14 19.027686
10091 15 12.238769
10090 2 15.001504
10090 3 369.676808
10090 4 277.549750
10090 5 267.620829
10090 6 18.213509
10090 7 283.802249
10090 8 420.684208
10090 9 15.791431
10090 10 19.088046
10090 11 323.915418
10090 12 30.892281
10090 13 20.422293
10090 14 36.580227
10090 15 13.608980
10089 2 14.611262
10089 3 369.751422
10089 4 277.680680
10089 5 267.666784
10089 6 35.820700
10089 7 283.989993
10089 8 419.998014
10089 9 15.136158
10089 10 17.016386
10089 11 323.526547
10089 12 30.503729
10089 13 22.420345
10089 14 22.032554
10089 15 14.748876
10088 2 18.533369
10088 3 376.565323
10088 4 278.922199
10088 5 270.348093
10088 6 16.016566
10088 7 281.969492
10088 8 425.757885
10088 9 14.444937
10088 10 21.424654
10088 11 321.699008
10088 12 30.961991
10088 13 18.041545
10088 14 25.433084
10088 15 13.766782
10087 2 16.043391
10087 3 372.478484
10087 4 278.006134
10087 5 280.206584
10087 6 16.146877
10087 7 283.980317
10087 8 423.682161
10087 9 25.487244
10087 10 17.563008
10087 11 321.857523
10087 12 30.542859
10087 13 17.781783
10087 14 17.262699
10087 15 12.208388
10086 2 15.000352
10086 3 372.815196
10086 4 279.242566
10086 5 267.796694
10086 6 16.449000
10086 7 286.260808
10086 8 422.247706
10086 9 25.929466
10086 10 63.831867
10086 11 322.565123
10086 12 30.357667
10086 13 25.998475
10086 14 22.332344
10086 15 14.088503
10085 2 15.377284
10085 3 373.067629
10085 4 280.418147
10085 5 268.652649
10085 6 18.815635
10085 7 284.773861
10085 8 421.661883
10085 9 54.899572
10085 10 26.229798
10085 11 323.437028
10085 12 30.832947
10085 13 15.383301
10085 14 17.051797
10085 15 16.636164
10084 2 93.884304
10084 3 372.109558
10084 4 279.806752
10084 5 267.439892
10084 6 18.293353
10084 7 284.595654
10084 8 422.392563
10084 9 15.063766
10084 10 14.070463
10084 11 324.388215
10084 12 30.849563
10084 13 17.801453
10084 14 35.954129
10084 15 15.676728
10083 2 16.351104
10083 3 372.202687
10083 4 276.144347
10083 5 14213366.406331
10083 6 16.164321
10083 7 284.825188
10083 8 420.061052
10083 9 18.565061
10083 10 14.039734
10083 11 324.413892
10083 12 30.106397
10083 13 17.967014
10083 14 20.535300
10083 15 12.991726
10082 2 25.434731
10082 3 374.930567
10082 4 278.075071
10082 5 269.326800
10082 6 19.029919
10082 7 284.069399
10082 8 420.140114
10082 9 19.993660
10082 10 15.120623
10082 11 323.558368
10082 12 30.538797
10082 13 26.710677
10082 14 17.421488
10082 15 13.155892
10081 2 14.746559
10081 3 370.237822
10081 4 278.121046
10081 5 269.097021
10081 6 30.500520
10081 7 285.088028
10081 8 423.711964
10081 9 14.788647
10081 10 19.108869
10081 11 325.225337
10081 12 29.853429
10081 13 18.923707
10081 14 17.268449
10081 15 12.954830
10080 2 21.021282
10080 3 40201186.457983
10080 4 277.432205
10080 5 270.387408
10080 6 43.763968
10080 7 284.349704
10080 8 418.766874
10080 9 41.314566
10080 10 33.383677
10080 11 323.383726
10080 12 30.150278
10080 13 15.899137
10080 14 66.771803
10080 15 13.458813
10079 2 16.141239
10079 3 371.588653
10079 4 279.706266
10079 5 273.314965
10079 6 19.589815
10079 7 283.509814
10079 8 434.800912
10079 9 17.867541
10079 10 42.298530
10079 11 322.625121
10079 12 30.412384
10079 13 14.906920
10079 14 21.825291
10079 15 13.443732
10078 2 20.377580
10078 3 373.329693
10078 4 278.425403
10078 5 268.089019
10078 6 16.393616
10078 7 283.960746
10078 8 28426646.289921
10078 9 15.488967
10078 10 14.203419
10078 11 321.313135
10078 12 29.537916
