# #runID ohdu sigmaOSbin
6521 2 11.471173
6521 3 12.110532
6521 4 11.368649
6521 5 11.372905
6521 6 16.526248
6521 7 10.833456
6521 8 11.877337
6521 9 12.722042
6521 10 12.353014
6521 11 6.672667
6521 12 6.954079
6521 13 12.757267
6521 14 12.149340
6521 15 12.623123
6520 2 11.436733
6520 3 12.118849
6520 4 11.455894
6520 5 11.367760
6520 6 16.483802
6520 7 10.856757
6520 8 11.885631
6520 9 12.676379
6520 10 12.326736
6520 11 6.664190
6520 12 6.984109
6520 13 12.810892
6520 14 12.184312
6520 15 12.588137
6519 2 11.416284
6519 3 12.072147
6519 4 11.489062
6519 5 11.391673
6519 6 16.545018
6519 7 10.888723
6519 8 11.875190
6519 9 12.660026
6519 10 12.320278
6519 11 6.664588
6519 12 6.914217
6519 13 12.813909
6519 14 12.118634
6519 15 12.559092
6518 2 11.460397
6518 3 12.066312
6518 4 11.380764
6518 5 11.403303
6518 6 16.513897
6518 7 10.848107
6518 8 11.899806
6518 9 12.684050
6518 10 12.334517
6518 11 6.656415
6518 12 6.922636
6518 13 12.791378
6518 14 12.124373
6518 15 12.592228
6517 2 11.458165
6517 3 12.117221
6517 4 11.411181
6517 5 11.362201
6517 6 16.543682
6517 7 10.865386
6517 8 11.904604
6517 9 12.657669
6517 10 12.337471
6517 11 6.683838
6517 12 6.956607
6517 13 12.796687
6517 14 12.066912
6517 15 12.622055
6516 2 11.453457
6516 3 12.088148
6516 4 11.445959
6516 5 11.310556
6516 6 16.534851
6516 7 10.871581
6516 8 11.893061
6516 9 12.665145
6516 10 12.322447
6516 11 6.648485
6516 12 6.922845
6516 13 12.764168
6516 14 12.048080
6516 15 12.582147
6515 2 11.446589
6515 3 12.082019
6515 4 11.359845
6515 5 11.415179
6515 6 16.478658
6515 7 10.902332
6515 8 11.889458
6515 9 12.687350
6515 10 12.331956
6515 11 6.669019
6515 12 6.958636
6515 13 12.776654
6515 14 12.137568
6515 15 12.543326
6514 2 11.435541
6514 3 12.062254
6514 4 11.349066
6514 5 11.393791
6514 6 16.535508
6514 7 10.930755
6514 8 11.914000
6514 9 12.749466
6514 10 12.382087
6514 11 6.681315
6514 12 6.941773
6514 13 12.757911
6514 14 12.158150
6514 15 12.591495
6513 2 11.458738
6513 3 12.127132
6513 4 11.411630
6513 5 11.331085
6513 6 16.525732
6513 7 10.888532
6513 8 11.864521
6513 9 12.693013
6513 10 12.316268
6513 11 6.683631
6513 12 6.915498
6513 13 12.785077
6513 14 12.053638
6513 15 12.583069
6512 2 11.472314
6512 3 12.109734
6512 4 11.422115
6512 5 11.362732
6512 6 16.550590
6512 7 10.845974
6512 8 11.871362
6512 9 12.693064
6512 10 12.367564
6512 11 6.669511
6512 12 6.935204
6512 13 12.756361
6512 14 12.312174
6512 15 12.605973
6511 2 11.431189
6511 3 12.087226
6511 4 11.389495
6511 5 11.359407
6511 6 16.511559
6511 7 10.892770
6511 8 11.904624
6511 9 12.673748
6511 10 12.292765
6511 11 6.647822
6511 12 6.959738
6511 13 12.790425
6511 14 12.371715
6511 15 12.580665
6510 2 11.485010
6510 3 12.084947
6510 4 11.340699
6510 5 11.388041
6510 6 16.539379
6510 7 10.882101
6510 8 11.895323
6510 9 12.695852
6510 10 12.334337
6510 11 6.655826
6510 12 7.026144
6510 13 12.780399
6510 14 12.340774
6510 15 12.552146
6509 2 11.468852
6509 3 12.100934
6509 4 11.372293
6509 5 11.374973
6509 6 16.502066
6509 7 10.887433
6509 8 11.853213
6509 9 12.718312
6509 10 12.368466
6509 11 6.691859
6509 12 6.970911
6509 13 12.724639
6509 14 12.200580
6509 15 12.578234
6508 2 11.495672
6508 3 12.111735
6508 4 11.388536
6508 5 11.389585
6508 6 16.462724
6508 7 10.902212
6508 8 11.867782
6508 9 12.699098
6508 10 12.339581
6508 11 6.656152
6508 12 6.990362
6508 13 12.781485
6508 14 12.159301
6508 15 12.559920
6507 2 11.413219
6507 3 12.142169
6507 4 11.424825
6507 5 11.373022
6507 6 16.560008
6507 7 10.874637
6507 8 11.870269
6507 9 12.633744
6507 10 12.322621
6507 11 6.684080
6507 12 6.963774
6507 13 12.784948
6507 14 12.160134
6507 15 12.589040
6506 2 11.468032
6506 3 12.103974
6506 4 11.391611
6506 5 11.380578
6506 6 16.538976
6506 7 10.909630
6506 8 11.902955
6506 9 12.669376
6506 10 12.350837
6506 11 6.687432
6506 12 6.966574
6506 13 12.794930
6506 14 12.146390
6506 15 12.625878
6505 2 11.417856
6505 3 12.107903
6505 4 11.435938
6505 5 11.361281
6505 6 16.484400
6505 7 10.850670
6505 8 11.906165
6505 9 12.641511
6505 10 12.355392
6505 11 6.669471
6505 12 6.973573
6505 13 12.780212
6505 14 12.108881
6505 15 12.597607
6504 2 11.418818
6504 3 12.091692
6504 4 11.447112
6504 5 11.400975
6504 6 16.546682
6504 7 10.872920
6504 8 11.922706
6504 9 12.619028
6504 10 12.326253
6504 11 6.690488
6504 12 6.970889
6504 13 12.789100
6504 14 12.104561
6504 15 12.585513
6503 2 11.444354
6503 3 12.105561
6503 4 0.008401
6503 5 11.314044
6503 6 16.470775
6503 7 10.895317
6503 8 11.861999
6503 9 12.667768
6503 10 12.371064
6503 11 6.663810
6503 12 6.991109
6503 13 12.756952
6503 14 12.209456
6503 15 12.582577
6502 2 11.452164
6502 3 12.105619
6502 4 11.421590
6502 5 11.381274
6502 6 16.532408
6502 7 10.860033
6502 8 11.889205
6502 9 12.649869
6502 10 12.380831
6502 11 6.674858
6502 12 6.981485
6502 13 12.736678
6502 14 12.134139
6502 15 12.609792
6501 2 11.415796
6501 3 12.096805
6501 4 11.476977
6501 5 11.364656
6501 6 16.456816
6501 7 10.828378
6501 8 11.922141
6501 9 12.622783
6501 10 12.376304
6501 11 6.666006
6501 12 7.017057
6501 13 12.777303
6501 14 12.223723
6501 15 12.522335
6500 2 11.418006
6500 3 12.104963
6500 4 11.498246
6500 5 11.360374
6500 6 16.488547
6500 7 10.855962
6500 8 11.902690
6500 9 12.602214
6500 10 12.386544
6500 11 6.662387
6500 12 6.915443
6500 13 12.816023
6500 14 12.176689
6500 15 12.634577
6499 2 11.470392
6499 3 12.115489
6499 4 11.375480
6499 5 11.414651
6499 6 16.513265
6499 7 10.926914
6499 8 11.907127
6499 9 12.693454
6499 10 12.306315
6499 11 6.645292
6499 12 6.940111
6499 13 12.776656
6499 14 12.582972
6499 15 12.543640
6498 2 11.472645
6498 3 12.097104
6498 4 11.360588
6498 5 11.355266
6498 6 16.485649
6498 7 10.892676
6498 8 11.868074
6498 9 12.679466
6498 10 12.354966
6498 11 6.655764
6498 12 6.965077
6498 13 12.799200
6498 14 12.292204
6498 15 12.582441
6497 2 11.423950
6497 3 12.103951
6497 4 11.424288
6497 5 11.352420
6497 6 16.550856
6497 7 10.888947
6497 8 11.910669
6497 9 12.644828
6497 10 12.327415
